DISTRICT_NAME,DISTRICT_CODE,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL
Greater New Bedford Regional Vocational Technical,08250000,61919117.93,2127.10,29109.19,61965733.25,2135.60,29015.70
Atlantis Charter (District),04910000,21697089.00,1257.80,17249.89,21697089.00,1257.80,17249.89
Chesterfield-Goshen,06320000,3049682.01,137.50,22179.51,3140483.08,151.60,20719.99
Hampden Charter School Of Science East (District),04990000,9737298.00,540.40,18017.69,9737298.00,540.40,18017.69
Essex North Shore Agricultural And Technical School District,08170000,40319722.29,1703.40,23669.83,40982553.88,1716.80,23871.03
Marion,01690000,8419136.00,375.80,22400.59,9179163.00,389.00,23595.14
Leominster,01530000,113294283.30,6007.00,18860.45,125393434.30,6393.90,19611.45
City On A Hill Charter Public School (District),04370000,6638832.22,188.70,35180.08,6638832.22,188.70,35180.08
Silver Lake,07600000,36228373.00,1580.20,22926.77,37847260.79,1681.60,22507.17
Shawsheen Valley Regional Vocational Technical,08710000,38578287.85,1272.10,30326.46,38589799.09,1273.90,30293.12
Roxbury Preparatory Charter (District),04840000,32251621.97,1105.40,29176.43,32251621.97,1105.40,29176.43
Map Academy Charter School (District),35170000,5852118.79,278.60,21004.70,5852118.79,278.60,21004.70
Natick,01980000,107569766.60,5314.70,20239.94,118488824.40,5442.20,21772.31
Bedford,00230000,59145395.00,2561.10,23093.55,66387166.34,2612.60,25410.18
Wellesley,03170000,115932138.70,4086.50,28369.35,124192652.30,4157.90,29869.34
Southbridge,02770000,46430703.01,1888.60,24585.30,54818209.11,2306.30,23768.91
Milton,01890000,82745697.18,4324.60,19133.62,91948508.57,4404.10,20877.78
Savoy,02630000,1086195.32,47.00,23099.62,1328009.12,62.50,21255.70
Sandwich,02610000,56041877.00,2119.20,26445.17,63821526.89,2392.20,26678.89
Southern Berkshire,07650000,20348754.74,613.60,33162.30,21525250.47,757.70,28410.46
Southampton,02750000,7809425.55,472.40,16533.13,9548122.48,549.10,17388.08
Winchester,03440000,80741779.67,4311.80,18725.77,87308028.52,4380.20,19932.59
Bristol-Plymouth Regional Vocational Technical,08100000,32213555.20,1300.30,24773.41,32288054.19,1311.30,24622.41
Northbridge,02140000,33697610.92,1875.30,17969.50,39356844.51,2097.80,18760.78
Up Academy Charter School Of Dorchester (District),35050000,12795448.74,580.10,22058.56,12795448.74,580.10,22058.56
Newburyport,02040000,47687263.52,2168.80,21987.91,54141209.96,2330.30,23233.34
Rochester,02500000,8423213.00,483.40,17426.54,9036552.36,498.90,18113.44
Whitman-Hanson,07800000,62467539.44,3455.30,18078.82,69176103.49,3622.90,19094.19
Pathfinder Regional Vocational Technical,08600000,17294581.21,631.90,27370.62,17427140.79,647.50,26913.39
Eastham,00850000,5522382.00,179.40,30787.28,5979840.99,216.30,27641.93
Boxford,00380000,16530927.00,767.70,21534.46,17524881.00,778.50,22511.25
Pittsfield,02360000,117042517.00,4930.80,23737.16,131559242.00,5805.50,22661.25
Brookline,00460000,187685858.00,7034.00,26682.66,197687064.20,7120.00,27765.05
Community Charter School Of Cambridge (District),04360000,8270435.79,259.30,31890.32,8270435.79,259.30,31890.32
Worcester,03480000,546111164.90,24576.00,22221.28,620492246.20,27606.40,22476.41
Agawam,00050000,73697806.62,3523.00,20918.95,80813510.40,3690.60,21896.84
Amherst-Pelham,06050000,34141149.00,1209.30,28231.90,38695548.18,1356.00,28536.40
Lunenburg,01620000,26914321.89,1580.50,17028.81,29576884.93,1680.40,17601.06
Uxbridge,03040000,33444420.00,1637.10,20429.06,38838843.53,1808.70,21472.91
Mansfield,01670000,72321864.85,3347.30,21606.21,79100587.77,3457.40,22878.50
Hamilton-Wenham,06750000,37036134.61,1660.60,22303.46,42069615.98,1714.30,24540.09
Southern Worcester County Regional Vocational School District,08760000,28427177.46,1159.60,24515.58,28763215.23,1214.00,23693.02
Kipp Academy Boston Charter School (District),04630000,17391067.14,597.90,29085.94,17391067.14,597.90,29085.94
Marshfield,01710000,71490755.80,3668.60,19487.03,76490761.52,3769.20,20293.64
Argosy Collegiate Charter School (District),35090000,11761569.64,566.60,20759.62,11761569.64,566.60,20759.62
Springfield,02810000,631330588.00,23722.90,26612.69,749025113.50,29467.90,25418.32
Lawrence Family Development Charter (District),04540000,17194470.75,878.80,19566.97,17194470.75,878.80,19566.97
Nantucket,01970000,48745738.00,1681.20,28994.23,50629867.00,1693.40,29898.35
Beverly,00300000,84199902.00,4528.20,18594.61,94776730.31,4712.30,20112.43
Mystic Valley Regional Charter (District),04700000,24155324.00,1654.40,14600.74,24155324.00,1654.40,14600.74
Nauset,06600000,35164389.00,1211.10,29035.35,41798584.78,1411.60,29611.16
Northern Berkshire Regional Vocational Technical,08510000,13526738.00,491.20,27536.59,13564023.34,496.20,27334.27
Holyoke,01370000,121052830.90,4898.90,24710.35,152926671.40,6164.70,24807.01
Ludlow,01610000,44856703.00,2251.00,19927.70,50961278.57,2376.60,21443.04
Up Academy Charter School Of Boston (District),04800000,8250712.64,159.20,51811.62,8250712.64,159.20,51811.62
Hudson,01410000,53175233.64,2390.70,22242.12,62713516.33,2672.00,23470.90
Kingston,01450000,15410513.00,1282.00,12020.68,20874863.00,1332.80,15662.02
Greater Lowell Regional Vocational Technical,08280000,61838892.00,2297.40,26917.16,61892491.44,2307.40,26823.74
Hull,01420000,23427233.66,752.30,31138.97,25181180.73,791.30,31820.71
Erving,00910000,4242453.00,122.70,34567.99,6172211.83,207.80,29703.61
Old Colony Regional Vocational Technical,08550000,14373435.00,545.40,26355.28,14449708.00,550.40,26254.43
King Philip,06900000,39494489.86,1852.90,21315.47,46511548.59,1977.50,23520.95
New Bedford,02010000,292262543.50,12612.00,23173.40,336914971.40,14587.30,23096.45
Dover,00780000,11523087.00,508.70,22652.52,13790614.00,517.70,26638.81
