DISTRICT_NAME,DISTRICT_CODE,SALARY_TOTALS,AVERAGE_SALARY,FTE_COUNT
Harvard,01250000,8104795.00,91787.00,88.3
Orange,02230000,3559440.00,84749.00,42.0
Ware,03090000,6921289.00,77593.00,89.2
Atlantis Charter (District),04910000,6480079.00,60203.00,100.8
Reading,02460000,28709271.00,96405.00,297.8
TEC Connections Academy Commonwealth Virtual School District,39020000,10329982.00,135921.00,125.5
Brooke Charter School (District),04280000,19154431.00,105564.00,181.2
Winchendon,03430000,7593599.00,83722.00,90.7
Mashpee,01720000,11780798.00,87851.00,134.1
Salem,02580000,34497395.00,96388.00,357.9
Methuen,01810000,46635301.00,86154.00,541.3
Pioneer Valley,07500000,4394007.00,75628.00,58.1
South Middlesex Regional Vocational Technical,08290000,8495475.00,93050.00,91.3
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,4449296.00,118493.00,35.6
Sandwich,02610000,16953166.00,87840.00,193.0
Medfield,01750000,22625967.00,108310.00,208.9
Mattapoisett,01730000,3913981.00,106358.00,36.8
Ashland,00140000,20917446.00,94563.00,221.2
Worcester,03480000,207413094.00,101529.00,2042.9
Spencer-E Brookfield,07670000,8514431.00,72463.00,117.5
Medway,01770000,14517869.00,90793.00,159.9
Savoy,02630000,404028.00,56905.00,7.1
Rochester,02500000,3528392.00,85433.00,41.3
UP Academy Charter School of Boston (District),04800000,4241758.00,132555.00,32.0
Melrose,01780000,24307999.00,85682.00,283.7
Abington,00010000,14030507.00,88409.00,158.7
Westborough,03210000,31495422.00,94609.00,332.9
Weston,03300000,22150604.00,127449.00,173.8
Easton,00880000,25331001.00,95625.00,264.9
Winthrop,03460000,12996770.00,82467.00,157.6
Hadley,01170000,4112115.00,74766.00,55.0
Roxbury Preparatory Charter (District),04840000,8179301.00,147596.00,48.2
Rockland,02510000,16372914.00,93399.00,175.3
Milton,01890000,34215846.00,100399.00,340.8
Saugus,02620000,16258884.00,89778.00,181.1
Bourne,00360000,13811016.00,94661.00,145.9
Minuteman Regional Vocational Technical,08300000,9190006.00,111529.00,82.4
Shawsheen Valley Regional Vocational Technical,08710000,14944942.00,113305.00,131.9
Neighborhood House Charter (District),04440000,6170400.00,82233.00,77.1
Tri-County Regional Vocational Technical,08780000,9387938.00,109289.00,85.9
Manchester Essex Regional,06980000,12342703.00,98900.00,124.8
Marblehead Community Charter Public (District),04640000,1311141.00,72845.00,18.0
Ludlow,01610000,16384497.00,84196.00,194.6
Pioneer Valley Performing Arts Charter Public (District),04790000,2519916.00,60151.00,43.3
Lunenburg,01620000,11273905.00,98894.00,114.0
Mystic Valley Regional Charter (District),04700000,8131031.00,81359.00,98.4
Bridge Boston Charter School (District),04170000,3461679.00,104899.00,34.0
Greater Lawrence Regional Vocational Technical,08230000,17216013.00,104339.00,165.0
Conway,00680000,1202035.00,71978.00,16.7
Beverly,00300000,33287108.00,87991.00,378.3
Learning First Charter Public School (District),04860000,3649272.00,112296.00,35.0
Gloucester,01070000,23151166.00,86417.00,267.9
Pittsfield,02360000,38071003.00,74111.00,513.7
Ayer Shirley School District,06160000,12007028.00,85887.00,139.8
Southern Berkshire,07650000,4745271.00,62030.00,76.5
Narragansett,07200000,7448926.00,75777.00,98.3
Lee,01500000,5948983.00,82282.00,72.3
Middleborough,01820000,22110568.00,103514.00,213.6
Amherst,00080000,9768018.00,87842.00,111.2
Southbridge,02770000,12962180.00,75714.00,171.2
Hill View Montessori Charter Public (District),04550000,1913259.00,83185.00,22.7
Old Rochester,07400000,8612151.00,96118.00,89.6
KIPP Academy Lynn Charter (District),04290000,10688100.00,93799.00,116.4
Burlington,00480000,34897434.00,106851.00,326.6
Hopkinton,01390000,31937006.00,109298.00,292.2
Nashoba,07250000,23745657.00,96175.00,246.9
Wareham,03100000,16041240.00,90119.00,178.0
New Salem-Wendell,07280000,981326.00,65422.00,15.0
Concord,00670000,21193195.00,114372.00,185.3
Carver,00520000,10866092.00,85830.00,126.6
Norton,02180000,18803585.00,98966.00,190.0
Everett,00930000,65017436.00,112487.00,578.0
Holyoke,01370000,32811609.00,78553.00,417.7
Prospect Hill Academy Charter (District),04870000,7513948.00,85572.00,98.2
Hamilton-Wenham,06750000,13868309.00,93642.00,148.1
South Hadley,02780000,11943486.00,78627.00,151.9
Holbrook,01330000,8385173.00,82613.00,101.5
Chelsea,00570000,43935566.00,89573.00,490.5
Conservatory Lab Charter (District),04390000,4077410.00,143067.00,30.2
Foxborough,00990000,20626169.00,96519.00,213.7
Ralph C Mahar,07550000,4530419.00,77048.00,58.8
Holliston,01360000,20062878.00,94950.00,211.3
Halifax,01180000,3940116.00,99498.00,39.6
Quincy,02430000,72023002.00,94955.00,758.5
Hawlemont,06850000,877796.00,97533.00,9.0
King Philip,06900000,12962682.00,91869.00,141.1
North Brookfield,02150000,2855243.00,72468.00,39.4
Holyoke Community Charter (District),04530000,3759590.00,113583.00,35.0
Topsfield,02980000,5607135.00,102507.00,54.7
Southeastern Regional Vocational Technical,08720000,13266845.00,102844.00,129.0
Farmington River Reg,06620000,1059067.00,74582.00,14.2
Marlborough,01700000,35783645.00,87213.00,410.3
Georgetown,01050000,8913068.00,126247.00,70.6
Orleans,02240000,2296581.00,107821.00,21.3
Plymouth,02390000,53665127.00,85129.00,630.4
Scituate,02640000,25492203.00,107926.00,236.2
Global Learning Charter Public (District),04960000,2834444.00,68725.00,43.4
Rising Tide Charter Public (District),04830000,3723221.00,66593.00,58.1
Chelmsford,00560000,34325324.00,90640.00,378.7
Randolph,02440000,23608505.00,97920.00,241.1
East Longmeadow,00870000,17194359.00,85672.00,200.7
Wales,03060000,703896.00,65176.00,10.8
Somerset Berkley Regional School District,07630000,7135577.00,91835.00,77.7
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,2237318.00,64530.00,31.0
Berlin-Boylston,06200000,7837913.00,85102.00,92.1
Springfield,02810000,183909650.00,84692.00,2171.5
Wachusett,07750000,43925799.00,93919.00,467.7
Southern Worcester County Regional Vocational School District,08760000,11058544.00,96161.00,115.0
Marblehead,01680000,22293150.00,90696.00,245.8
Christa McAuliffe Charter School (District),04180000,2958974.00,99391.00,32.3
Old Colony Regional Vocational Technical,08550000,5271013.00,85016.00,62.0
Wellfleet,03180000,1041655.00,82671.00,12.6
Swampscott,02910000,17205995.00,91473.00,188.1
Hopedale,01380000,7353889.00,75040.00,98.0
Southborough,02760000,11024361.00,100404.00,109.8
Brookfield,00450000,1820278.00,70168.00,26.0
Whittier Regional Vocational Technical,08850000,12172602.00,98008.00,124.2
Kingston,01450000,5949846.00,74935.00,79.4
Attleboro,00160000,38934827.00,95946.00,405.8
Lawrence,01490000,97151679.00,84516.00,1149.5
Somerset,02730000,12450618.00,94038.00,132.4
Boston Preparatory Charter Public (District),04160000,5098588.00,85336.00,64.0
Lenox,01520000,6934381.00,84669.00,81.9
Norwood,02200000,30559111.00,92324.00,331.0
State Totals,00000000,7065457313.00,91014.00,77630.3
