DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED
Innovation Academy Charter (District),04350000,94,94.70,3.20,0.00,0.00,2.10,0.00
Maynard,01740000,85,91.80,0.00,0.00,1.20,7.10,0.00
Northbridge,02140000,111,84.70,1.80,0.00,1.80,11.70,0.00
Medford,01760000,298,90.90,3.40,0.00,0.70,5.00,0.00
Concord-Carlisle,06400000,313,96.80,2.60,0.00,0.30,0.30,0.00
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,52,1.90,48.10,0.00,3.80,46.20,0.00
Abby Kelley Foster Charter Public (District),04450000,76,100.00,0.00,0.00,0.00,0.00,0.00
Scituate,02640000,205,96.10,2.90,0.00,0.00,1.00,0.00
Fall River,00950000,759,76.80,7.10,0.80,0.40,14.90,0.00
Millis,01870000,82,96.30,2.40,0.00,0.00,1.20,0.00
Cohasset,00650000,105,95.20,2.90,0.00,0.00,1.90,0.00
Methuen,01810000,541,90.90,2.40,0.70,0.20,5.70,0.00
Dighton-Rehoboth,06500000,172,91.90,4.70,0.00,0.60,2.90,0.00
Montachusett Regional Vocational Technical,08320000,345,98.60,0.60,0.00,0.00,0.90,0.00
Avon,00180000,60,90.00,5.00,0.00,0.00,5.00,0.00
Mendon-Upton,07100000,161,93.80,2.50,0.00,0.60,3.10,0.00
Weston,03300000,173,97.70,2.30,0.00,0.00,0.00,0.00
Lynn,01630000,1716,75.60,3.90,0.20,0.00,20.20,0.00
Mount Greylock,07150000,72,95.80,0.00,0.00,0.00,4.20,0.00
Bridgewater-Raynham,06250000,412,93.40,3.40,0.00,0.20,2.90,0.00
Silver Lake,07600000,256,97.70,2.00,0.00,0.00,0.40,0.00
Westport,03310000,96,96.90,0.00,0.00,1.00,2.10,0.00
Bristol-Plymouth Regional Vocational Technical,08100000,313,98.40,0.00,0.00,0.00,1.60,0.00
Westford,03260000,375,97.90,1.60,0.00,0.30,0.30,0.00
Natick,01980000,393,94.90,2.30,0.30,0.30,2.30,0.00
Sturgis Charter Public (District),04890000,198,98.00,0.50,0.00,0.50,1.00,0.00
Medway,01770000,176,93.20,1.70,0.00,0.60,4.50,0.00
Hampden Charter School of Science (District),04990000,116,94.00,1.70,0.00,0.90,3.40,0.00
Leicester,01510000,89,91.00,5.60,0.00,0.00,3.40,0.00
