DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL,SALARY_TOTALS,AVERAGE_SALARY,FTE_COUNT,ATTENDANCE_RATE,AVERAGE_NUMBER_ABSENCES,ABSENT_10_OR_MORE_DAYS,ABSENT_10_PERCENT_OR_MORE,ABSENT_20_PERCENT_OR_MORE,UNEXCUSED_OVER_9_DAYS,TOTAL_NUMBER_OF_STAFF,ATTENDANCE_RATE_PERCENTAGE,AVERAGE_NUMBER_OF_ABSENCES,ART_KINDERGARTEN,ART_FIRST_GRADE,ART_SECOND_GRADE,ART_THIRD_GRADE,ART_FOURTH_GRADE,ART_FIFTH_GRADE,ART_SIXTH_GRADE,ART_SEVENTH_GRADE,ART_EIGHTH_GRADE,ART_NINTH_GRADE,ART_TENTH_GRADE,ART_ELEVENTH_GRADE,ART_TWELVETH_GRADE,ART_ALL_GRADES,ELA_AVERAGE_SCALED_SCORE,MATH_AVERAGE_SCALED_SCORE,SCI_AVERAGE_SCALED_SCORE,ELA_E_NUMBER,MATH_E_NUMBER,SCI_E_NUMBER,ELA_E_PERCENTAGE,MATH_E_PERCENTAGE,SCI_E_PERCENTAGE,ELA_M_E_NUMBER,MATH_M_E_NUMBER,SCI_M_E_NUMBER,ELA_M_E_PERCENTAGE,MATH_M_E_PERCENTAGE,SCI_M_E_PERCENTAGE,ELA_M_NUMBER,MATH_M_NUMBER,SCI_M_NUMBER,ELA_M_PERCENTAGE,MATH_M_PERCENTAGE,SCI_M_PERCENTAGE,ELA_N_M_NUMBER,MATH_N_M_NUMBER,SCI_N_M_NUMBER,ELA_N_M_PERCENTAGE,MATH_N_M_PERCENTAGE,SCI_N_M_PERCENTAGE,ELA_PARTICIPATION_RATE_PERCENTAGE,MATH_PARTICIPATION_RATE_PERCENTAGE,SCI_PARTICIPATION_RATE_PERCENTAGE,ELA_P_M_NUMBER,MATH_P_M_NUMBER,SCI_P_M_NUMBER,ELA_P_M_PERCENTAGE,MATH_P_M_PERCENTAGE,SCI_P_M_PERCENTAGE,ELA_SGP,MATH_SGP,ELA_TOTAL_STUDENTS_INCLUDED,MATH_TOTAL_STUDENTS_INCLUDED,SCI_TOTAL_STUDENTS_INCLUDED,ELA_TOTAL_STUDENTS_INCLUDED_IN_SGP,MATH_TOTAL_STUDENTS_INCLUDED_IN_SGP,ART_PARTICIPATION_RATE
Worcester,03480000,2096,85.5,5.5,0.2,0.2,8.5,0.0,546111164.9,24576.0,22221.28,620492246.2,27606.4,22476.41,207413094.0,101529.0,2042.9,92.0,13.7,49.9,25.3,7.8,41.0,4185.0,92.6,13.5,1962.0,1892.0,1823.0,1870.0,1601.0,1771.0,1814.0,1517.0,1660.0,813.0,899.0,986.0,956.0,19564.0,483.0,484.0,482.0,314.0,268.0,78.0,3.0,3.0,2.0,2629.0,2394.0,758.0,26.0,24.0,23.0,2315.0,2126.0,680.0,23.0,21.0,20.0,3424.0,3134.0,1123.0,34.0,31.0,34.0,99.0,99.0,98.0,4117.0,4620.0,1463.0,40.0,46.0,44.0,49.0,49.0,10170.0,10148.0,3344.0,7243.0,7305.0,9.333969465648854
Medfield,01750000,182,96.7,2.2,0.0,0.0,1.1,0.0,49988382.1,2486.0,20107.96,52369483.1,2507.3,20886.94,22625967.0,108310.0,208.9,95.7,7.6,26.7,6.8,1.1,15.3,412.0,94.8,9.3,178.0,199.0,184.0,207.0,180.0,202.0,188.0,186.0,194.0,152.0,119.0,89.0,122.0,2200.0,509.0,511.0,511.0,155.0,172.0,69.0,13.0,15.0,17.0,806.0,845.0,283.0,70.0,73.0,72.0,651.0,673.0,214.0,57.0,58.0,54.0,54.0,45.0,15.0,5.0,4.0,4.0,99.0,99.0,99.0,291.0,267.0,97.0,25.0,23.0,25.0,51.0,52.0,1151.0,1157.0,395.0,920.0,925.0,12.087912087912088
Roxbury Preparatory Charter (District),04840000,111,85.6,1.8,0.0,0.0,12.6,0.0,32251621.97,1105.4,29176.43,32251621.97,1105.4,29176.43,8179301.0,147596.0,48.2,89.6,17.7,62.4,37.0,13.1,52.0,98.0,97.2,5.6,,,,,,75.0,146.0,177.0,184.0,0.0,137.0,88.0,102.0,909.0,487.0,489.0,484.0,18.0,6.0,0.0,3.0,1.0,0.0,168.0,181.0,58.0,29.0,32.0,23.0,150.0,175.0,58.0,26.0,31.0,23.0,143.0,105.0,57.0,25.0,18.0,22.0,93.0,98.0,98.0,259.0,286.0,140.0,45.0,50.0,55.0,62.0,69.0,570.0,572.0,255.0,467.0,483.0,8.18918918918919
Billerica,00310000,317,96.2,1.3,0.3,0.3,1.9,0.0,97393135.71,4932.8,19744.01,109268710.6,5159.7,21177.39,38942127.0,108203.0,359.9,94.5,9.6,37.0,12.7,2.8,25.9,796.0,91.7,14.9,400.0,395.0,397.0,406.0,425.0,365.0,364.0,366.0,274.0,258.0,168.0,155.0,246.0,4219.0,496.0,497.0,496.0,135.0,161.0,44.0,6.0,7.0,6.0,1048.0,1062.0,340.0,45.0,45.0,45.0,913.0,901.0,296.0,39.0,38.0,39.0,343.0,317.0,95.0,15.0,14.0,12.0,99.0,99.0,99.0,955.0,968.0,326.0,41.0,41.0,43.0,48.0,47.0,2346.0,2347.0,761.0,1841.0,1848.0,13.309148264984227
Springfield,02810000,1864,82.0,7.9,0.2,0.1,9.7,0.1,631330588.0,23722.9,26612.69,749025113.5,29467.9,25418.32,183909650.0,84692.0,2171.5,90.9,15.4,57.0,32.8,10.1,39.9,4469.0,93.3,12.3,4.0,1737.0,1701.0,1689.0,1685.0,1670.0,1023.0,839.0,934.0,935.0,944.0,988.0,1110.0,15259.0,482.0,480.0,482.0,180.0,147.0,74.0,2.0,2.0,2.0,2065.0,1596.0,633.0,22.0,17.0,21.0,1885.0,1449.0,559.0,20.0,16.0,19.0,3139.0,3425.0,1036.0,34.0,37.0,34.0,99.0,99.0,96.0,4137.0,4300.0,1343.0,44.0,46.0,45.0,47.0,46.0,9341.0,9321.0,3012.0,6525.0,6527.0,8.186158798283262
West Bridgewater,03230000,100,95.0,3.0,0.0,0.0,2.0,0.0,22426639.89,1396.3,16061.73,24786339.25,1431.8,17311.6,8608470.0,83254.0,103.4,95.1,8.5,33.3,10.2,1.8,22.3,191.0,94.6,9.9,0.0,102.0,101.0,96.0,126.0,102.0,113.0,104.0,111.0,100.0,95.0,92.0,69.0,1211.0,495.0,496.0,494.0,30.0,28.0,7.0,5.0,4.0,3.0,270.0,259.0,80.0,42.0,40.0,39.0,240.0,231.0,73.0,38.0,36.0,36.0,79.0,56.0,23.0,12.0,9.0,11.0,98.0,99.0,97.0,290.0,330.0,102.0,45.0,51.0,50.0,47.0,49.0,639.0,645.0,205.0,522.0,526.0,12.11
Grafton,01100000,220,93.6,3.2,0.0,0.5,2.7,0.0,49743165.15,3089.6,16100.43,54882378.49,3188.8,17211.22,19565844.0,81934.0,238.8,94.0,10.6,40.0,14.8,3.7,1.1,545.0,89.4,18.5,211.0,216.0,232.0,248.0,242.0,262.0,205.0,243.0,244.0,109.0,118.0,130.0,165.0,2625.0,500.0,503.0,505.0,107.0,155.0,67.0,8.0,11.0,14.0,754.0,766.0,309.0,54.0,54.0,63.0,647.0,611.0,242.0,46.0,43.0,49.0,164.0,126.0,49.0,12.0,9.0,10.0,98.0,98.0,97.0,486.0,522.0,132.0,35.0,37.0,27.0,53.0,52.0,1404.0,1414.0,490.0,1090.0,1099.0,11.931818181818182
Attleboro,00160000,566,92.2,3.4,0.2,0.2,4.1,0.0,109817146.4,6039.3,18183.84,118401168.8,6404.6,18486.93,38934827.0,95946.0,405.8,93.5,11.1,43.5,17.8,4.3,27.6,866.0,93.5,11.4,450.0,412.0,415.0,441.0,400.0,441.0,451.0,449.0,455.0,277.0,415.0,334.0,268.0,5208.0,492.0,494.0,492.0,114.0,148.0,41.0,4.0,6.0,5.0,958.0,1009.0,338.0,37.0,39.0,38.0,844.0,861.0,297.0,33.0,33.0,34.0,491.0,451.0,168.0,19.0,17.0,19.0,99.0,100.0,99.0,1144.0,1137.0,375.0,44.0,44.0,43.0,50.0,52.0,2593.0,2597.0,881.0,1994.0,1999.0,9.201413427561837
Andover,00090000,415,98.1,1.7,0.0,0.0,0.2,0.0,129211369.6,5488.2,23543.37,136436312.2,5582.3,24441.06,50389369.0,107624.0,468.2,95.1,8.6,31.8,8.6,1.6,4.9,997.0,93.4,11.8,386.0,372.0,409.0,418.0,429.0,402.0,475.0,419.0,423.0,327.0,264.0,215.0,282.0,4821.0,508.0,511.0,511.0,439.0,509.0,191.0,17.0,20.0,23.0,1660.0,1733.0,559.0,65.0,68.0,68.0,1221.0,1224.0,368.0,48.0,48.0,45.0,194.0,147.0,59.0,8.0,6.0,7.0,99.0,99.0,99.0,704.0,680.0,205.0,28.0,27.0,25.0,53.0,57.0,2558.0,2560.0,823.0,1985.0,2001.0,11.616867469879518
Four Rivers Charter Public (District),04130000,32,100.0,0.0,0.0,0.0,0.0,0.0,4253832.0,213.0,19975.73,4253832.0,213.0,19975.73,1496174.0,101236.0,17.7,93.2,11.7,43.5,20.2,6.7,8.1,50.0,94.4,10.3,,,,,,,,38.0,38.0,28.0,20.0,27.0,19.0,170.0,495.0,491.0,493.0,7.0,2.0,2.0,10.0,3.0,6.0,27.0,19.0,16.0,40.0,26.0,46.0,20.0,17.0,14.0,29.0,24.0,40.0,9.0,9.0,6.0,13.0,13.0,17.0,89.0,95.0,92.0,32.0,44.0,13.0,47.0,61.0,37.0,45.0,43.0,68.0,72.0,35.0,57.0,61.0,5.3125
Hampshire,06830000,104,97.1,1.0,0.0,0.0,1.9,0.0,15349671.41,685.0,22407.01,17839977.19,770.5,23152.36,5472654.0,78970.0,69.3,94.1,10.4,40.3,14.2,3.2,0.0,120.0,93.3,12.1,,,,,,,,132.0,154.0,25.0,74.0,32.0,62.0,479.0,492.0,493.0,492.0,12.0,3.0,6.0,4.0,1.0,4.0,104.0,110.0,57.0,36.0,38.0,38.0,92.0,107.0,51.0,32.0,37.0,34.0,46.0,41.0,22.0,16.0,14.0,15.0,98.0,99.0,97.0,135.0,137.0,72.0,47.0,48.0,48.0,39.0,37.0,285.0,288.0,151.0,253.0,262.0,4.605769230769231
Gloucester,01070000,202,84.7,5.0,0.5,0.5,9.4,0.0,66215844.29,2921.7,22663.38,74223992.36,3221.6,23039.33,23151166.0,86417.0,267.9,91.7,14.4,56.4,27.5,7.1,55.8,515.0,94.3,10.3,234.0,230.0,208.0,227.0,225.0,217.0,204.0,202.0,211.0,140.0,124.0,100.0,89.0,2411.0,490.0,488.0,490.0,60.0,37.0,16.0,5.0,3.0,4.0,425.0,379.0,155.0,34.0,30.0,37.0,365.0,342.0,139.0,29.0,27.0,33.0,255.0,281.0,90.0,20.0,22.0,21.0,98.0,99.0,97.0,586.0,611.0,175.0,46.0,48.0,42.0,47.0,47.0,1266.0,1271.0,420.0,983.0,987.0,11.935643564356436
Weymouth,03360000,482,89.4,3.7,0.2,0.8,5.8,0.0,109098757.6,5567.1,19596.94,125777564.0,5997.1,20973.09,43547647.0,94979.0,458.5,93.2,11.5,44.1,19.2,4.7,32.9,879.0,92.5,13.8,438.0,452.0,437.0,436.0,441.0,404.0,382.0,399.0,399.0,145.0,147.0,103.0,149.0,4332.0,495.0,493.0,490.0,187.0,128.0,34.0,8.0,5.0,4.0,1054.0,896.0,271.0,44.0,37.0,34.0,867.0,768.0,237.0,36.0,32.0,30.0,435.0,453.0,160.0,18.0,19.0,20.0,99.0,99.0,98.0,914.0,1046.0,357.0,38.0,44.0,45.0,50.0,43.0,2403.0,2395.0,788.0,1860.0,1862.0,8.987551867219917
Dover-Sherborn,06550000,157,98.1,1.9,0.0,0.0,0.0,0.0,28456242.0,1124.0,25317.69,30157182.62,1152.5,26166.58,12086067.0,117000.0,103.3,95.7,7.8,30.6,5.3,0.5,18.7,209.0,94.2,10.7,,,,,,,164.0,141.0,168.0,134.0,117.0,113.0,101.0,938.0,509.0,512.0,509.0,69.0,93.0,18.0,15.0,20.0,11.0,329.0,335.0,118.0,70.0,72.0,72.0,260.0,242.0,100.0,55.0,52.0,61.0,25.0,22.0,5.0,5.0,5.0,3.0,98.0,98.0,98.0,115.0,111.0,42.0,25.0,24.0,25.0,52.0,53.0,469.0,468.0,165.0,449.0,451.0,5.974522292993631
Sandwich,02610000,151,89.4,5.3,0.0,0.7,4.6,0.0,56041877.0,2119.2,26445.17,63821526.89,2392.2,26678.89,16953166.0,87840.0,193.0,94.0,10.4,44.9,14.3,1.9,29.8,395.0,94.0,11.0,160.0,154.0,171.0,157.0,180.0,157.0,182.0,172.0,188.0,107.0,75.0,84.0,81.0,1868.0,501.0,503.0,502.0,109.0,108.0,43.0,11.0,11.0,13.0,548.0,554.0,190.0,53.0,54.0,56.0,439.0,446.0,147.0,43.0,43.0,43.0,112.0,95.0,39.0,11.0,9.0,11.0,99.0,99.0,98.0,370.0,379.0,112.0,36.0,37.0,33.0,52.0,52.0,1030.0,1028.0,341.0,823.0,826.0,12.370860927152318
Sutton,02900000,103,94.2,3.9,0.0,0.0,1.9,0.0,24498389.75,1309.2,18712.41,27190444.12,1381.6,19680.81,8930592.0,91128.0,98.0,94.7,9.4,37.7,11.6,1.4,4.6,225.0,96.2,1.1,84.0,102.0,96.0,98.0,97.0,96.0,106.0,85.0,45.0,61.0,34.0,20.0,63.0,987.0,495.0,496.0,497.0,22.0,25.0,6.0,4.0,4.0,3.0,253.0,249.0,79.0,42.0,42.0,42.0,231.0,224.0,73.0,39.0,38.0,39.0,77.0,63.0,18.0,13.0,11.0,10.0,99.0,98.0,99.0,269.0,284.0,91.0,45.0,48.0,48.0,53.0,53.0,599.0,596.0,188.0,480.0,480.0,9.58252427184466
Woburn,03470000,369,91.1,3.5,0.0,0.0,5.4,0.0,101588395.6,4479.6,22677.95,113807903.5,4712.9,24148.23,38045640.0,99232.0,383.4,92.9,12.1,45.7,21.5,5.9,15.8,830.0,92.8,12.6,345.0,352.0,376.0,354.0,330.0,339.0,337.0,310.0,339.0,161.0,153.0,112.0,148.0,3656.0,490.0,490.0,491.0,83.0,84.0,33.0,4.0,4.0,5.0,694.0,641.0,246.0,35.0,32.0,37.0,611.0,557.0,213.0,31.0,28.0,32.0,448.0,431.0,151.0,23.0,22.0,23.0,99.0,99.0,99.0,834.0,910.0,274.0,42.0,46.0,41.0,44.0,46.0,1976.0,1982.0,671.0,1467.0,1482.0,9.907859078590786
Boston Day and Evening Academy Charter (District),04240000,158,21.5,48.1,0.0,1.9,27.8,0.6,8553315.69,287.7,29729.63,8553315.69,287.7,29729.63,4155045.0,163894.0,26.2,64.0,48.8,94.7,93.4,76.2,0.0,67.0,90.3,18.7,,,,,,,,,,17.0,9.0,1.0,52.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Sizer School: A North Central Charter Essential (District),04740000,40,90.0,0.0,0.0,0.0,10.0,0.0,5829226.33,309.6,18825.82,5829226.33,309.6,18825.82,2058335.0,62022.0,31.1,90.7,15.5,56.9,28.8,10.8,38.3,60.0,96.5,6.3,,,,,,,,20.0,36.0,32.0,24.0,17.0,13.0,142.0,498.0,488.0,488.0,9.0,2.0,0.0,8.0,2.0,0.0,57.0,31.0,17.0,52.0,29.0,26.0,48.0,29.0,17.0,44.0,27.0,26.0,17.0,18.0,11.0,15.0,17.0,17.0,97.0,96.0,93.0,36.0,59.0,38.0,33.0,55.0,58.0,48.0,50.0,110.0,108.0,66.0,92.0,91.0,3.55
Gardner,01030000,238,87.8,5.5,0.4,0.8,5.5,0.0,44437932.46,2470.5,17987.18,49709382.83,2681.4,18538.65,15417611.0,104103.0,148.1,92.4,12.7,50.2,26.7,7.1,23.4,362.0,94.1,10.6,198.0,203.0,196.0,204.0,194.0,183.0,155.0,157.0,113.0,107.0,76.0,80.0,96.0,1962.0,479.0,479.0,481.0,14.0,8.0,2.0,1.0,1.0,1.0,203.0,191.0,79.0,20.0,18.0,24.0,189.0,183.0,77.0,18.0,18.0,23.0,389.0,373.0,115.0,37.0,36.0,34.0,98.0,98.0,99.0,446.0,475.0,140.0,43.0,46.0,42.0,39.0,40.0,1038.0,1039.0,334.0,759.0,754.0,8.243697478991596
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,40,7.5,42.5,0.0,0.0,50.0,0.0,4537600.68,157.9,28729.9,4537600.68,157.9,28729.9,955684.0,71384.0,15.1,46.4,71.6,93.5,96.0,86.0,0.0,25.0,96.3,7.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
North Andover,02110000,347,96.5,0.9,0.6,0.3,1.7,0.0,82145234.02,4533.9,18118.21,89857917.29,4652.8,19312.72,31786143.0,94771.0,335.4,94.0,10.6,41.9,14.5,3.0,0.0,704.0,92.5,13.2,338.0,308.0,334.0,325.0,317.0,345.0,355.0,343.0,325.0,254.0,258.0,216.0,199.0,3917.0,498.0,501.0,498.0,160.0,186.0,52.0,8.0,9.0,8.0,945.0,1051.0,332.0,47.0,52.0,49.0,785.0,865.0,280.0,39.0,43.0,42.0,280.0,207.0,83.0,14.0,10.0,12.0,99.0,99.0,99.0,776.0,748.0,256.0,39.0,37.0,38.0,47.0,51.0,2001.0,2006.0,671.0,1578.0,1585.0,11.288184438040346
Littleton,01580000,126,96.8,1.6,0.0,0.0,1.6,0.0,30764510.48,1667.7,18446.78,34794940.6,1762.5,19741.36,11148018.0,90487.0,123.2,95.4,8.1,29.5,7.5,1.7,1.1,257.0,91.6,15.1,0.0,0.0,0.0,137.0,109.0,127.0,126.0,133.0,109.0,98.0,93.0,66.0,94.0,1092.0,508.0,506.0,508.0,133.0,105.0,44.0,18.0,14.0,19.0,462.0,441.0,152.0,63.0,60.0,65.0,329.0,336.0,108.0,45.0,46.0,46.0,45.0,56.0,22.0,6.0,8.0,9.0,99.0,99.0,99.0,231.0,239.0,61.0,31.0,32.0,26.0,54.0,54.0,738.0,736.0,235.0,577.0,577.0,8.666666666666666
Westfield,03250000,422,91.7,2.1,0.7,0.0,5.5,0.0,92558875.62,4821.4,19197.62,104109029.9,5161.5,20170.35,34357523.0,82215.0,417.9,92.8,12.4,47.6,21.7,6.0,11.7,885.0,91.0,16.3,297.0,281.0,313.0,338.0,334.0,355.0,369.0,322.0,359.0,164.0,194.0,185.0,154.0,3665.0,489.0,491.0,492.0,67.0,89.0,25.0,3.0,4.0,4.0,715.0,709.0,260.0,35.0,34.0,38.0,648.0,620.0,235.0,31.0,30.0,34.0,450.0,373.0,123.0,22.0,18.0,18.0,99.0,99.0,97.0,905.0,978.0,310.0,44.0,47.0,45.0,47.0,51.0,2070.0,2060.0,693.0,1600.0,1619.0,8.684834123222748
Athol-Royalston,06150000,120,81.7,7.5,0.8,0.0,10.0,0.0,30989939.0,1632.6,18981.76,35648472.42,1887.2,18889.79,9548255.0,76325.0,125.1,92.1,13.7,52.6,25.7,7.2,36.9,255.0,92.6,13.7,113.0,141.0,126.0,144.0,123.0,107.0,124.0,114.0,130.0,65.0,40.0,40.0,25.0,1292.0,480.0,482.0,479.0,9.0,10.0,1.0,1.0,1.0,0.0,150.0,149.0,34.0,20.0,21.0,16.0,141.0,139.0,33.0,19.0,19.0,15.0,259.0,226.0,80.0,35.0,31.0,37.0,97.0,96.0,91.0,323.0,350.0,105.0,44.0,48.0,48.0,42.0,44.0,732.0,725.0,219.0,530.0,527.0,10.766666666666667
Bourne,00360000,83,90.4,4.8,0.0,0.0,4.8,0.0,37933450.94,1543.9,24569.62,43904791.33,1817.3,24159.93,13811016.0,94661.0,145.9,93.1,12.0,51.7,20.0,4.2,1.2,266.0,92.7,13.4,114.0,125.0,113.0,120.0,113.0,128.0,119.0,148.0,125.0,77.0,33.0,30.0,58.0,1303.0,491.0,490.0,491.0,21.0,17.0,12.0,3.0,2.0,5.0,242.0,224.0,77.0,32.0,30.0,31.0,221.0,207.0,65.0,30.0,28.0,26.0,132.0,118.0,43.0,18.0,16.0,17.0,99.0,99.0,97.0,373.0,406.0,130.0,50.0,54.0,52.0,53.0,54.0,747.0,748.0,250.0,590.0,590.0,15.698795180722891
Global Learning Charter Public (District),04960000,37,100.0,0.0,0.0,0.0,0.0,0.0,9340235.0,499.6,18695.43,9340235.0,499.6,18695.43,2834444.0,68725.0,43.4,96.5,6.1,14.5,3.5,1.2,12.8,94.0,94.5,10.5,,,,,,86.0,86.0,79.0,80.0,27.0,36.0,49.0,38.0,481.0,483.0,478.0,482.0,8.0,3.0,3.0,2.0,1.0,2.0,63.0,37.0,31.0,19.0,11.0,19.0,55.0,34.0,28.0,17.0,10.0,17.0,90.0,102.0,42.0,27.0,31.0,25.0,100.0,100.0,99.0,177.0,191.0,92.0,54.0,58.0,56.0,48.0,35.0,330.0,330.0,165.0,323.0,323.0,13.0
Oxford,02260000,104,95.2,1.9,0.0,0.0,2.9,0.0,27028046.44,1487.0,18176.22,31140684.26,1631.6,19086.08,9950581.0,80053.0,124.3,93.4,11.4,44.9,19.5,4.7,2.1,257.0,93.3,11.8,112.0,103.0,99.0,113.0,92.0,107.0,133.0,117.0,138.0,93.0,79.0,57.0,82.0,1325.0,489.0,488.0,489.0,23.0,18.0,11.0,3.0,3.0,5.0,231.0,187.0,78.0,33.0,27.0,32.0,208.0,169.0,67.0,30.0,25.0,28.0,147.0,153.0,55.0,21.0,22.0,23.0,97.0,97.0,98.0,314.0,348.0,109.0,45.0,51.0,45.0,47.0,39.0,692.0,688.0,242.0,540.0,538.0,12.740384615384615
Dracut,00790000,216,88.4,4.2,0.0,0.5,6.9,0.0,56321075.0,3588.6,15694.54,65257621.69,3960.8,16476.04,20740093.0,84757.0,244.7,94.2,10.0,38.2,14.6,3.5,34.7,474.0,95.1,8.8,247.0,266.0,292.0,300.0,317.0,302.0,303.0,322.0,277.0,92.0,54.0,88.0,74.0,2934.0,494.0,494.0,491.0,99.0,96.0,17.0,5.0,5.0,3.0,753.0,722.0,196.0,41.0,39.0,34.0,654.0,626.0,179.0,36.0,34.0,31.0,294.0,270.0,86.0,16.0,15.0,15.0,99.0,99.0,99.0,783.0,846.0,297.0,43.0,46.0,51.0,49.0,48.0,1830.0,1838.0,579.0,1434.0,1441.0,13.583333333333334
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,73,12.3,28.8,0.0,0.0,58.9,0.0,6251264.88,190.0,32897.93,6251264.88,190.0,32897.93,992280.0,58028.0,18.2,51.3,69.9,94.7,95.1,84.0,0.0,34.0,95.9,7.5,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Duxbury,00820000,223,98.2,1.3,0.0,0.0,0.4,0.0,55110417.3,2739.8,20114.92,58606888.76,2786.2,21034.41,22434544.0,96993.0,231.3,95.4,8.2,30.5,6.6,1.0,13.4,426.0,94.7,10.0,202.0,190.0,218.0,199.0,225.0,197.0,197.0,189.0,172.0,148.0,96.0,79.0,144.0,2256.0,508.0,506.0,506.0,177.0,137.0,45.0,14.0,11.0,11.0,812.0,754.0,261.0,66.0,62.0,65.0,635.0,617.0,216.0,52.0,50.0,54.0,59.0,69.0,20.0,5.0,6.0,5.0,100.0,100.0,99.0,352.0,400.0,120.0,29.0,33.0,30.0,54.0,50.0,1223.0,1223.0,401.0,1000.0,999.0,10.116591928251122
Gateway,06720000,37,86.5,10.8,0.0,0.0,2.7,0.0,18804416.53,739.5,25430.08,20842281.95,846.6,24619.65,5875625.0,73629.0,79.8,91.8,14.4,56.7,23.3,6.0,0.0,191.0,91.9,13.9,55.0,56.0,60.0,50.0,46.0,50.0,58.0,59.0,59.0,33.0,34.0,25.0,26.0,611.0,491.0,493.0,497.0,17.0,12.0,6.0,5.0,4.0,6.0,105.0,107.0,46.0,33.0,34.0,45.0,88.0,95.0,40.0,28.0,30.0,39.0,61.0,46.0,11.0,19.0,15.0,11.0,98.0,98.0,97.0,149.0,162.0,46.0,47.0,51.0,45.0,46.0,52.0,315.0,315.0,103.0,249.0,250.0,16.513513513513512
Shrewsbury,02710000,451,94.5,4.0,0.0,0.0,1.6,0.0,107596121.0,5927.9,18150.95,116697433.7,6128.9,19040.39,41651458.0,95247.0,437.3,94.7,9.3,37.7,11.1,1.9,2.4,981.0,93.9,11.4,376.0,371.0,409.0,411.0,414.0,470.0,499.0,441.0,469.0,266.0,251.0,226.0,225.0,4828.0,504.0,509.0,502.0,308.0,494.0,103.0,12.0,19.0,11.0,1535.0,1767.0,543.0,58.0,66.0,59.0,1227.0,1273.0,440.0,46.0,48.0,47.0,260.0,230.0,102.0,10.0,9.0,11.0,100.0,100.0,100.0,871.0,667.0,282.0,33.0,25.0,30.0,52.0,55.0,2666.0,2664.0,927.0,2099.0,2113.0,10.70509977827051
Neighborhood House Charter (District),04440000,68,79.4,4.4,2.9,1.5,11.8,0.0,20817754.0,836.6,24885.25,20817754.0,836.6,24885.25,6170400.0,82233.0,77.1,90.2,17.1,63.4,37.3,10.5,38.6,178.0,95.5,7.5,42.0,38.0,41.0,44.0,44.0,65.0,69.0,68.0,73.0,67.0,71.0,30.0,35.0,687.0,487.0,481.0,475.0,14.0,4.0,1.0,4.0,1.0,1.0,90.0,69.0,19.0,25.0,20.0,14.0,76.0,65.0,18.0,22.0,18.0,13.0,80.0,118.0,59.0,23.0,34.0,44.0,98.0,98.0,99.0,183.0,165.0,57.0,52.0,47.0,42.0,50.0,37.0,353.0,352.0,135.0,276.0,279.0,10.102941176470589
Hanover,01220000,176,96.6,2.3,0.0,0.6,0.6,0.0,43830395.34,2605.4,16823.16,48662406.75,2692.2,18075.28,20465754.0,104046.0,196.7,94.8,9.2,35.7,10.0,1.8,20.8,342.0,94.1,10.7,182.0,206.0,182.0,196.0,208.0,226.0,215.0,183.0,205.0,95.0,121.0,65.0,86.0,2170.0,504.0,505.0,502.0,129.0,139.0,47.0,11.0,11.0,11.0,683.0,707.0,235.0,56.0,58.0,55.0,554.0,568.0,188.0,46.0,46.0,44.0,92.0,82.0,30.0,8.0,7.0,7.0,98.0,99.0,98.0,441.0,433.0,163.0,36.0,35.0,38.0,52.0,51.0,1216.0,1222.0,428.0,991.0,998.0,12.329545454545455
Easton,00880000,299,98.0,1.7,0.0,0.0,0.3,0.0,59101700.49,3390.8,17430.16,63770117.79,3482.5,18311.4,25331001.0,95625.0,264.9,94.5,9.7,38.1,11.3,2.0,29.2,520.0,92.6,13.6,211.0,219.0,217.0,269.0,235.0,255.0,253.0,283.0,264.0,85.0,94.0,114.0,118.0,2617.0,501.0,504.0,503.0,125.0,164.0,50.0,8.0,11.0,10.0,834.0,893.0,291.0,54.0,58.0,57.0,709.0,729.0,241.0,46.0,47.0,47.0,151.0,101.0,30.0,10.0,7.0,6.0,99.0,99.0,98.0,556.0,543.0,190.0,36.0,35.0,37.0,51.0,54.0,1541.0,1537.0,511.0,1224.0,1222.0,8.752508361204013
