DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL,SALARY_TOTALS,AVERAGE_SALARY,FTE_COUNT,ATTENDANCE_RATE,AVERAGE_NUMBER_ABSENCES,ABSENT_10_OR_MORE_DAYS,ABSENT_10_PERCENT_OR_MORE,ABSENT_20_PERCENT_OR_MORE,UNEXCUSED_OVER_9_DAYS,TOTAL_NUMBER_OF_STAFF,ATTENDANCE_RATE_PERCENTAGE,AVERAGE_NUMBER_OF_ABSENCES,ART_KINDERGARTEN,ART_FIRST_GRADE,ART_SECOND_GRADE,ART_THIRD_GRADE,ART_FOURTH_GRADE,ART_FIFTH_GRADE,ART_SIXTH_GRADE,ART_SEVENTH_GRADE,ART_EIGHTH_GRADE,ART_NINTH_GRADE,ART_TENTH_GRADE,ART_ELEVENTH_GRADE,ART_TWELVETH_GRADE,ART_ALL_GRADES,ELA_AVERAGE_SCALED_SCORE,MATH_AVERAGE_SCALED_SCORE,SCI_AVERAGE_SCALED_SCORE,ELA_E_NUMBER,MATH_E_NUMBER,SCI_E_NUMBER,ELA_E_PERCENTAGE,MATH_E_PERCENTAGE,SCI_E_PERCENTAGE,ELA_M_E_NUMBER,MATH_M_E_NUMBER,SCI_M_E_NUMBER,ELA_M_E_PERCENTAGE,MATH_M_E_PERCENTAGE,SCI_M_E_PERCENTAGE,ELA_M_NUMBER,MATH_M_NUMBER,SCI_M_NUMBER,ELA_M_PERCENTAGE,MATH_M_PERCENTAGE,SCI_M_PERCENTAGE,ELA_N_M_NUMBER,MATH_N_M_NUMBER,SCI_N_M_NUMBER,ELA_N_M_PERCENTAGE,MATH_N_M_PERCENTAGE,SCI_N_M_PERCENTAGE,ELA_PARTICIPATION_RATE_PERCENTAGE,MATH_PARTICIPATION_RATE_PERCENTAGE,SCI_PARTICIPATION_RATE_PERCENTAGE,ELA_P_M_NUMBER,MATH_P_M_NUMBER,SCI_P_M_NUMBER,ELA_P_M_PERCENTAGE,MATH_P_M_PERCENTAGE,SCI_P_M_PERCENTAGE,ELA_SGP,MATH_SGP,ELA_TOTAL_STUDENTS_INCLUDED,MATH_TOTAL_STUDENTS_INCLUDED,SCI_TOTAL_STUDENTS_INCLUDED,ELA_TOTAL_STUDENTS_INCLUDED_IN_SGP,MATH_TOTAL_STUDENTS_INCLUDED_IN_SGP,ART_PARTICIPATION_RATE
Beverly,00300000,310,89.4,5.8,0.3,0.0,4.2,0.3,84199902.0,4528.2,18594.61,94776730.31,4712.3,20112.43,33287108.0,87991.0,378.3,92.1,14.0,58.4,24.8,5.4,29.0,662.0,93.4,12.0,354.0,340.0,351.0,339.0,353.0,367.0,329.0,358.0,316.0,163.0,265.0,225.0,172.0,3932.0,495.0,500.0,493.0,144.0,208.0,39.0,7.0,10.0,6.0,932.0,1056.0,282.0,45.0,51.0,43.0,788.0,848.0,243.0,38.0,41.0,37.0,360.0,297.0,119.0,17.0,14.0,18.0,99.0,99.0,95.0,777.0,718.0,256.0,38.0,35.0,39.0,46.0,49.0,2069.0,2071.0,657.0,1641.0,1645.0,12.683870967741935
Mashpee,01720000,117,89.7,6.0,0.0,0.9,3.4,0.0,35105403.71,1435.5,24455.84,38479651.02,1593.4,24148.93,11780798.0,87851.0,134.1,93.3,11.6,47.8,19.5,4.6,11.7,250.0,93.9,11.1,94.0,102.0,114.0,104.0,111.0,104.0,87.0,108.0,104.0,55.0,70.0,47.0,38.0,1138.0,491.0,491.0,493.0,19.0,20.0,14.0,3.0,3.0,7.0,204.0,198.0,80.0,34.0,33.0,39.0,185.0,178.0,66.0,31.0,30.0,32.0,101.0,96.0,37.0,17.0,16.0,18.0,99.0,99.0,98.0,293.0,300.0,87.0,49.0,51.0,43.0,47.0,47.0,598.0,594.0,204.0,478.0,475.0,9.726495726495726
Auburn,00170000,182,92.3,2.2,0.0,0.0,5.5,0.0,43762369.67,2487.8,17590.48,45098538.21,2536.2,17782.16,16071554.0,86267.0,186.3,94.5,9.6,38.7,12.6,2.2,25.4,402.0,93.7,11.3,147.0,145.0,175.0,179.0,174.0,199.0,208.0,195.0,224.0,85.0,143.0,138.0,142.0,2154.0,496.0,496.0,497.0,82.0,70.0,32.0,7.0,6.0,8.0,515.0,465.0,197.0,45.0,40.0,47.0,433.0,395.0,165.0,38.0,34.0,40.0,177.0,151.0,59.0,15.0,13.0,14.0,97.0,98.0,98.0,455.0,540.0,161.0,40.0,47.0,39.0,49.0,48.0,1147.0,1156.0,417.0,914.0,929.0,11.835164835164836
Winchester,03440000,329,96.0,1.8,0.0,0.3,1.8,0.0,80741779.67,4311.8,18725.77,87308028.52,4380.2,19932.59,35387846.0,103352.0,342.4,95.7,7.7,28.3,5.9,0.7,9.8,681.0,94.1,10.8,0.0,311.0,302.0,329.0,297.0,380.0,331.0,324.0,342.0,230.0,193.0,166.0,126.0,3331.0,511.0,514.0,515.0,383.0,485.0,184.0,19.0,24.0,25.0,1436.0,1501.0,560.0,71.0,74.0,77.0,1053.0,1016.0,376.0,52.0,50.0,52.0,104.0,79.0,25.0,5.0,4.0,3.0,99.0,99.0,99.0,493.0,454.0,142.0,24.0,22.0,20.0,58.0,60.0,2033.0,2034.0,727.0,1606.0,1612.0,10.124620060790274
Taunton,02930000,611,89.0,3.1,0.0,0.3,7.5,0.0,153095246.1,8112.7,18871.02,169407296.8,8647.5,19590.29,54009360.0,97034.0,556.6,92.3,13.2,48.8,23.8,7.3,39.1,1156.0,93.5,11.8,630.0,637.0,615.0,641.0,593.0,634.0,604.0,678.0,347.0,258.0,293.0,255.0,185.0,6370.0,486.0,484.0,484.0,111.0,89.0,36.0,3.0,2.0,3.0,1112.0,859.0,296.0,30.0,23.0,24.0,1001.0,770.0,260.0,27.0,21.0,21.0,993.0,1104.0,374.0,27.0,30.0,30.0,98.0,99.0,97.0,1587.0,1743.0,557.0,43.0,47.0,45.0,47.0,45.0,3692.0,3706.0,1227.0,2761.0,2790.0,10.425531914893616
Greater New Bedford Regional Vocational Technical,08250000,497,97.8,1.4,0.0,0.0,0.6,0.2,61919117.93,2127.1,29109.19,61965733.25,2135.6,29015.7,18060988.0,91867.0,196.6,96.0,7.1,24.6,8.1,1.9,11.0,289.0,92.9,13.6,,,,,,,,,,21.0,29.0,34.0,36.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2414486921529175
Southwick-Tolland-Granville Regional School District,07660000,86,96.5,3.5,0.0,0.0,0.0,0.0,26661633.62,1312.8,20308.38,29716848.73,1431.9,20753.07,9519730.0,79998.0,119.0,94.7,9.3,38.9,12.8,1.4,24.8,247.0,93.1,12.1,84.0,88.0,97.0,90.0,88.0,97.0,105.0,96.0,112.0,42.0,61.0,48.0,64.0,1072.0,493.0,493.0,493.0,21.0,26.0,9.0,4.0,5.0,4.0,217.0,227.0,71.0,37.0,39.0,34.0,196.0,201.0,62.0,34.0,35.0,30.0,96.0,93.0,28.0,16.0,16.0,14.0,99.0,98.0,98.0,270.0,257.0,107.0,46.0,45.0,52.0,46.0,43.0,583.0,577.0,206.0,468.0,465.0,12.465116279069768
Bellingham,00250000,166,88.0,5.4,0.0,0.6,6.0,0.0,41854655.05,2018.6,20734.72,50681157.32,2350.9,21558.48,15241357.0,98522.0,154.7,93.4,11.3,42.6,19.2,4.5,27.4,369.0,94.0,10.9,154.0,133.0,149.0,129.0,143.0,150.0,150.0,153.0,154.0,94.0,101.0,94.0,118.0,1722.0,487.0,490.0,492.0,24.0,38.0,15.0,3.0,4.0,5.0,247.0,292.0,112.0,28.0,33.0,36.0,223.0,254.0,97.0,25.0,28.0,31.0,223.0,192.0,57.0,25.0,22.0,19.0,98.0,99.0,97.0,416.0,408.0,139.0,47.0,46.0,45.0,43.0,46.0,886.0,892.0,308.0,697.0,701.0,10.373493975903614
Essex North Shore Agricultural and Technical School District,08170000,419,99.5,0.2,0.0,0.0,0.2,0.0,40319722.29,1703.4,23669.83,40982553.88,1716.8,23871.03,14886938.0,97747.0,152.3,94.2,10.2,40.7,12.6,2.9,16.3,269.0,94.4,10.4,,,,,,,,,,0.0,20.0,90.0,27.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3269689737470167
Stoneham,02840000,149,91.9,2.7,0.0,0.7,4.7,0.0,48412220.72,2293.2,21111.16,57023777.39,2538.2,22466.02,17160952.0,81293.0,211.1,93.8,10.8,41.9,15.2,4.1,0.0,435.0,93.1,12.4,197.0,197.0,189.0,186.0,187.0,171.0,176.0,158.0,180.0,134.0,112.0,117.0,104.0,2108.0,497.0,498.0,500.0,89.0,78.0,32.0,8.0,7.0,9.0,479.0,460.0,179.0,45.0,43.0,51.0,390.0,382.0,147.0,37.0,36.0,42.0,154.0,132.0,33.0,15.0,12.0,9.0,100.0,100.0,99.0,423.0,467.0,140.0,40.0,44.0,40.0,47.0,46.0,1056.0,1059.0,352.0,824.0,827.0,14.14765100671141
