District Name,District Code,Subject,M+E #,M+E percentage,E #,E percentage,M #,M percentage,PM #,PM percentage,NM #,NM percentage,No. of Students Included,Part. Rate percentage,Avg. Scaled Score,SGP,Included In SGP
Belchertown,00240000,SCI,         136,42,          12,4,         124,38,         149,46,          40,12,         325,96,     495,,
Bellingham,00250000,ELA,         247,28,          24,3,         223,25,         416,47,         223,25,         886,98,     487,          43,         697
Bellingham,00250000,MATH,         292,33,          38,4,         254,28,         408,46,         192,22,         892,99,     490,          46,         701
Bellingham,00250000,SCI,         112,36,          15,5,          97,31,         139,45,          57,19,         308,97,     492,,
Belmont,00260000,ELA,"       1,449",69,         393,19,"       1,056",50,         535,25,         128,6,"       2,112",99,     510,          54,"       1,615"
Belmont,00260000,MATH,"       1,490",71,         530,25,         960,45,         516,24,         105,5,"       2,111",99,     513,          49,"       1,630"
Belmont,00260000,SCI,         568,78,         231,32,         337,46,         128,18,          30,4,         726,99,     517,,
Benjamin Banneker Charter Public (District),04200000,ELA,         149,79,          50,27,          99,53,          38,20,           1,1,         188,100,     518,          63,         138
Benjamin Banneker Charter Public (District),04200000,MATH,         158,84,          54,29,         104,55,          29,15,           1,1,         188,100,     521,          55,         138
Benjamin Banneker Charter Public (District),04200000,SCI,          34,68,          11,22,          23,46,          16,32,           0,0,          50,100,     512,,
Benjamin Franklin Classical Charter Public (District),04470000,ELA,         353,59,          69,12,         284,48,         200,34,          41,7,         594,99,     505,          53,         483
Benjamin Franklin Classical Charter Public (District),04470000,MATH,         347,59,          85,14,         262,44,         218,37,          26,4,         591,99,     506,          53,         482
Benjamin Franklin Classical Charter Public (District),04470000,SCI,         125,64,          30,15,          95,49,          61,31,           9,5,         195,98,     507,,
Berkley,00270000,ELA,         263,49,          34,6,         229,43,         210,39,          62,12,         535,100,     498,          52,         443
Berkley,00270000,MATH,         245,46,          23,4,         222,42,         216,40,          73,14,         534,100,     497,          47,         441
Berkley,00270000,SCI,         116,59,          17,9,          99,50,          67,34,          15,8,         198,100,     502,,
Berkshire Arts and Technology Charter Public (District),04140000,ELA,          79,39,          11,5,          68,33,          87,43,          38,19,         204,100,     491,          47,         187
Berkshire Arts and Technology Charter Public (District),04140000,MATH,          52,26,           5,3,          47,24,         107,54,          41,21,         200,98,     487,          48,         183
Berkshire Arts and Technology Charter Public (District),04140000,SCI,          25,37,           4,6,          21,31,          36,54,           6,9,          67,100,     496,,
Berkshire Hills,06180000,ELA,         194,45,          37,9,         157,36,         178,41,          62,14,         434,93,     497,          51,         324
Berkshire Hills,06180000,MATH,         155,36,          11,3,         144,33,         202,46,          79,18,         436,93,     492,          45,         332
Berkshire Hills,06180000,SCI,          59,39,           7,5,          52,35,          71,47,          20,13,         150,88,     494,,
Berlin-Boylston,06200000,ELA,         294,57,          60,12,         234,46,         174,34,          46,9,         514,100,     504,          52,         396
Berlin-Boylston,06200000,MATH,         306,60,          59,11,         247,48,         161,31,          47,9,         514,100,     504,          51,         399
