District Name,District Code,Subject,M+E #,M+E percentage,E #,E percentage,M #,M percentage,PM #,PM percentage,NM #,NM percentage,No. of Students Included,Part. Rate percentage,Avg. Scaled Score,SGP,Included In SGP
Lexington,01550000,MATH,"       2,451",78,"       1,120",36,"       1,331",42,         519,16,         179,6,"       3,149",99,     519,          59,"       2,509"
Lexington,01550000,SCI,         839,76,         295,27,         544,49,         205,19,          55,5,"       1,099",99,     515,,
Libertas Academy Charter School (District),35140000,ELA,         118,44,          14,5,         104,39,         121,45,          29,11,         268,99,     496,          66,         245
Libertas Academy Charter School (District),35140000,MATH,         136,51,          14,5,         122,46,         102,38,          28,11,         266,99,     498,          75,         242
Libertas Academy Charter School (District),35140000,SCI,          27,31,           0,0,          27,31,          49,56,          12,14,          88,97,     493,,
Lincoln,01570000,ELA,         374,57,          91,14,         283,43,         230,35,          47,7,         651,99,     505,          59,         453
Lincoln,01570000,MATH,         364,56,          94,14,         270,41,         220,34,          69,11,         653,99,     504,          57,         455
Lincoln,01570000,SCI,         131,64,          30,15,         101,50,          57,28,          16,8,         204,98,     506,,
Littleton,01580000,ELA,         462,63,         133,18,         329,45,         231,31,          45,6,         738,99,     508,          54,         577
Littleton,01580000,MATH,         441,60,         105,14,         336,46,         239,32,          56,8,         736,99,     506,          54,         577
Littleton,01580000,SCI,         152,65,          44,19,         108,46,          61,26,          22,9,         235,99,     508,,
Longmeadow,01590000,ELA,         722,59,         116,9,         606,49,         411,33,          99,8,"       1,232",98,     503,          46,         977
Longmeadow,01590000,MATH,         768,62,         154,12,         614,50,         393,32,          76,6,"       1,237",98,     506,          50,         982
Longmeadow,01590000,SCI,         265,63,          51,12,         214,51,         127,30,          28,7,         420,98,     506,,
Lowell,01600000,ELA,"       1,866",28,         262,4,"       1,604",24,"       2,779",41,"       2,108",31,"       6,753",99,     485,          53,"       4,952"
Lowell,01600000,MATH,"       2,117",31,         349,5,"       1,768",26,"       2,977",44,"       1,679",25,"       6,773",99,     489,          54,"       5,039"
Lowell,01600000,SCI,         453,21,          36,2,         417,19,         984,45,         728,34,"       2,165",98,     481,,
Lowell Community Charter Public (District),04560000,ELA,         217,44,          41,8,         176,36,         203,41,          70,14,         490,100,     496,          51,         399
Lowell Community Charter Public (District),04560000,MATH,         166,34,          29,6,         137,28,         260,53,          65,13,         491,100,     493,          49,         399
Lowell Community Charter Public (District),04560000,SCI,          55,35,           4,3,          51,32,          73,46,          30,19,         158,100,     491,,
Ludlow,01610000,ELA,         221,23,          15,2,         206,21,         491,51,         253,26,         965,99,     484,          42,         780
Ludlow,01610000,MATH,         304,31,          29,3,         275,28,         473,49,         192,20,         969,99,     489,          46,         782
Ludlow,01610000,SCI,          98,29,           6,2,          92,27,         171,51,          68,20,         337,97,     488,,
Lunenburg,01620000,ELA,         332,46,          32,4,         300,41,         325,45,          67,9,         724,99,     497,          53,         568
Lunenburg,01620000,MATH,         335,46,          30,4,         305,42,         320,44,          70,10,         725,99,     497,          52,         572
Lunenburg,01620000,SCI,         111,48,          13,6,          98,43,          98,43,          21,9,         230,99,     499,,
Lynn,01630000,ELA,"       1,142",17,          70,1,"       1,072",16,"       3,008",44,"       2,625",39,"       6,775",99,     478,          49,"       4,934"
Lynn,01630000,MATH,         981,14,          95,1,         886,13,"       3,175",47,"       2,620",39,"       6,776",99,     478,          50,"       4,989"
Lynn,01630000,SCI,         405,19,          26,1,         379,18,"       1,002",46,         757,35,"       2,164",99,     480,,
Lynnfield,01640000,ELA,         669,63,         132,12,         537,51,         322,30,          72,7,"       1,063",99,     506,          51,         859
Lynnfield,01640000,MATH,         661,62,         142,13,         519,49,         347,33,          58,5,"       1,066",99,     507,          49,         860
Lynnfield,01640000,SCI,         190,57,          34,10,         156,47,         119,36,          26,8,         335,100,     504,,
Malden,01650000,ELA,         926,34,         178,7,         748,28,"       1,006",37,         762,28,"       2,694",99,     489,          53,"       1,938"
Malden,01650000,MATH,         901,34,         173,6,         728,27,"       1,138",42,         648,24,"       2,687",99,     490,          53,"       1,983"
Malden,01650000,SCI,         276,31,          41,5,         235,27,         358,40,         250,28,         884,99,     487,,
Manchester Essex Regional,06980000,ELA,         328,61,          67,13,         261,49,         172,32,          36,7,         536,100,     505,          53,         447
Manchester Essex Regional,06980000,MATH,         302,57,          53,10,         249,47,         197,37,          35,7,         534,99,     504,          52,         442
Manchester Essex Regional,06980000,SCI,         122,64,          15,8,         107,56,          57,30,          12,6,         191,99,     504,,
Mansfield,01670000,ELA,         836,55,         142,9,         694,46,         550,36,         137,9,"       1,523",100,     502,          52,"       1,216"
Mansfield,01670000,MATH,         821,54,         141,9,         680,45,         571,38,         127,8,"       1,519",99,     502,          45,"       1,213"
Mansfield,01670000,SCI,         246,50,          26,5,         220,45,         210,43,          36,7,         492,98,     499,,
Marblehead,01680000,ELA,         651,59,         132,12,         519,47,         365,33,          87,8,"       1,103",99,     505,          55,         890
Marblehead,01680000,MATH,         654,59,         120,11,         534,48,         359,33,          90,8,"       1,103",99,     504,          54,         890
Marblehead,01680000,SCI,         218,53,          33,8,         185,45,         158,39,          32,8,         408,99,     501,,
Marblehead Community Charter Public (District),04640000,ELA,         103,53,          18,9,          85,44,          72,37,          18,9,         193,99,     502,          58,         169
Marblehead Community Charter Public (District),04640000,MATH,          93,48,          20,10,          73,38,          82,42,          18,9,         193,100,     500,          63,         169
Marblehead Community Charter Public (District),04640000,SCI,          27,38,           4,6,          23,32,          35,49,           9,13,          71,100,     495,,
Marion,01690000,ELA,          94,43,          19,9,          75,34,          97,44,          30,14,         221,97,     497,          49,         159
Marion,01690000,MATH,         101,46,          21,10,          80,36,          89,40,          30,14,         220,97,     500,          48,         161
Marion,01690000,SCI,          29,55,           3,6,          26,49,          14,26,          10,19,          53,98,     497,,
Marlborough,01700000,ELA,         563,26,          69,3,         494,22,         904,41,         732,33,"       2,199",99,     482,          48,"       1,576"
Marlborough,01700000,MATH,         506,23,          62,3,         444,20,"       1,049",48,         644,29,"       2,199",100,     484,          50,"       1,593"
Marlborough,01700000,SCI,         162,23,          20,3,         142,20,         295,42,         251,35,         708,99,     482,,
Marshfield,01710000,ELA,         813,52,         122,8,         691,44,         623,40,         131,8,"       1,567",98,     501,          48,"       1,278"
Marshfield,01710000,MATH,         874,56,         141,9,         733,47,         593,38,          97,6,"       1,564",98,     503,          48,"       1,277"
Marshfield,01710000,SCI,         286,50,          47,8,         239,42,         245,43,          39,7,         570,98,     500,,
Martha's Vineyard Charter Public School (District),04660000,ELA,          44,47,           4,4,          40,43,          41,44,           8,9,          93,93,     497,          47,          74
Martha's Vineyard Charter Public School (District),04660000,MATH,          26,27,           0,0,          26,27,          54,56,          16,17,          96,96,     490,          42,          77
Martha's Vineyard Charter Public School (District),04660000,SCI,          15,56,           2,7,          13,48,          12,44,           0,0,          27,100,     505,,
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,ELA,          31,18,           1,1,          30,18,          94,56,          43,26,         168,99,     483,          50,         112
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,MATH,          25,15,           4,2,          21,13,          86,51,          57,34,         168,99,     480,          50,         112
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,SCI,           8,15,           0,0,           8,15,          27,49,          20,36,          55,100,     478,,
Masconomet,07050000,ELA,         306,56,          53,10,         253,46,         188,34,          57,10,         551,98,     501,          44,         527
Masconomet,07050000,MATH,         270,49,          33,6,         237,43,         222,40,          60,11,         552,98,     498,          40,         529
Masconomet,07050000,SCI,         177,62,          44,15,         133,47,          82,29,          25,9,         284,98,     505,,
Mashpee,01720000,ELA,         204,34,          19,3,         185,31,         293,49,         101,17,         598,99,     491,          47,         478
Mashpee,01720000,MATH,         198,33,          20,3,         178,30,         300,51,          96,16,         594,99,     491,          47,         475
Mashpee,01720000,SCI,          80,39,          14,7,          66,32,          87,43,          37,18,         204,98,     493,,
Match Charter Public School (District),04690000,ELA,         116,22,           7,1,         109,20,         272,51,         150,28,         538,100,     483,          49,         422
Match Charter Public School (District),04690000,MATH,         122,23,          12,2,         110,21,         294,55,         120,22,         536,99,     486,          51,         417
Match Charter Public School (District),04690000,SCI,          40,24,           5,3,          35,21,          81,48,          47,28,         168,98,     485,,
Mattapoisett,01730000,ELA,         141,66,          27,13,         114,54,          62,29,          10,5,         213,100,     508,          64,         152
Mattapoisett,01730000,MATH,         123,58,          21,10,         102,48,          79,37,          11,5,         213,100,     504,          59,         151
Mattapoisett,01730000,SCI,          32,64,           7,14,          25,50,          14,28,           4,8,          50,100,     505,,
Maynard,01740000,ELA,         226,41,          20,4,         206,37,         229,41,          97,18,         552,99,     492,          49,         434
Maynard,01740000,MATH,         175,32,          16,3,         159,29,         279,51,          92,17,         546,98,     490,          46,         429
Maynard,01740000,SCI,          92,50,          12,6,          80,43,          71,38,          22,12,         185,98,     498,,
Medfield,01750000,ELA,         806,70,         155,13,         651,57,         291,25,          54,5,"       1,151",99,     509,          51,         920
Medfield,01750000,MATH,         845,73,         172,15,         673,58,         267,23,          45,4,"       1,157",99,     511,          52,         925
Medfield,01750000,SCI,         283,72,          69,17,         214,54,          97,25,          15,4,         395,99,     511,,
Medford,01760000,ELA,         746,40,         124,7,         622,34,         697,38,         403,22,"       1,846",98,     492,          46,"       1,350"
Medford,01760000,MATH,         643,35,          94,5,         549,30,         840,46,         354,19,"       1,837",98,     492,          49,"       1,358"
Medford,01760000,SCI,         238,40,          45,8,         193,33,         235,40,         120,20,         593,96,     493,,
Medway,01770000,ELA,         590,58,          93,9,         497,49,         331,33,          88,9,"       1,009",99,     503,          48,         814
Medway,01770000,MATH,         603,60,         112,11,         491,49,         344,34,          65,6,"       1,012",99,     505,          48,         814
Medway,01770000,SCI,         211,62,          46,14,         165,49,         104,31,          24,7,         339,100,     506,,
Melrose,01780000,ELA,"       1,091",61,         273,15,         818,46,         512,29,         175,10,"       1,778",99,     506,          51,"       1,404"
Melrose,01780000,MATH,"       1,060",60,         265,15,         795,45,         571,32,         140,8,"       1,771",98,     506,          47,"       1,401"
Melrose,01780000,SCI,         320,55,          71,12,         249,42,         201,34,          65,11,         586,99,     501,,
Mendon-Upton,07100000,ELA,         476,48,          54,5,         422,43,         399,40,         112,11,         987,99,     497,          53,         781
Mendon-Upton,07100000,MATH,         495,50,          73,7,         422,43,         399,40,          98,10,         992,100,     500,          51,         783
Mendon-Upton,07100000,SCI,         150,50,          16,5,         134,45,         116,39,          35,12,         301,99,     498,,
Methuen,01810000,ELA,         925,30,         106,3,         819,26,"       1,397",45,         769,25,"       3,091",99,     487,          48,"       2,403"
Methuen,01810000,MATH,         848,27,          99,3,         749,24,"       1,430",46,         823,27,"       3,101",100,     486,          51,"       2,410"
Methuen,01810000,SCI,         282,27,          26,2,         256,24,         490,46,         287,27,"       1,059",99,     485,,
Middleborough,01820000,ELA,         445,33,          39,3,         406,30,         673,49,         243,18,"       1,361",99,     490,          44,"       1,060"
Middleborough,01820000,MATH,         464,34,          44,3,         420,31,         669,49,         224,17,"       1,357",98,     492,          43,"       1,058"
Middleborough,01820000,SCI,         161,38,          19,5,         142,34,         189,45,          71,17,         421,96,     492,,
Middleton,01840000,ELA,         206,51,          23,6,         183,45,         162,40,          35,9,         403,100,     500,          51,         291
Middleton,01840000,MATH,         205,51,          22,5,         183,46,         171,43,          26,6,         402,100,     502,          56,         292
Middleton,01840000,SCI,          65,68,          12,13,          53,55,          25,26,           6,6,          96,100,     506,,
Milford,01850000,ELA,         561,29,          53,3,         508,26,         863,44,         539,27,"       1,963",99,     485,          49,"       1,452"
Milford,01850000,MATH,         480,25,          36,2,         444,23,"       1,005",51,         471,24,"       1,956",99,     486,          52,"       1,457"
Milford,01850000,SCI,         206,31,          30,5,         176,27,         288,44,         162,25,         656,99,     487,,
Millbury,01860000,ELA,         266,38,          21,3,         245,35,         320,45,         121,17,         707,99,     492,          44,         539
Millbury,01860000,MATH,         279,39,          40,6,         239,34,         314,44,         114,16,         707,99,     494,          47,         544
Millbury,01860000,SCI,          94,39,           7,3,          87,36,         116,48,          32,13,         242,98,     493,,
Millis,01870000,ELA,         251,45,          33,6,         218,39,         252,45,          59,10,         562,100,     497,          48,         444
Millis,01870000,MATH,         257,46,          26,5,         231,41,         251,45,          55,10,         563,100,     498,          53,         444
Millis,01870000,SCI,          96,48,          11,6,          85,43,          72,36,          31,16,         199,100,     497,,
Milton,01890000,ELA,"       1,343",64,         278,13,"       1,065",51,         590,28,         168,8,"       2,101",99,     506,          54,"       1,648"
Milton,01890000,MATH,"       1,271",60,         305,15,         966,46,         696,33,         134,6,"       2,101",99,     507,          54,"       1,651"
Milton,01890000,SCI,         493,71,         158,23,         335,48,         149,21,          52,7,         694,99,     511,,
Mohawk Trail,07170000,ELA,         131,34,          13,3,         118,31,         163,42,          92,24,         386,96,     489,          43,         307
Mohawk Trail,07170000,MATH,          92,24,           3,1,          89,23,         203,53,          90,23,         385,96,     486,          45,         302
Mohawk Trail,07170000,SCI,          42,30,           4,3,          38,28,          57,41,          39,28,         138,95,     485,,
Monomoy Regional School District,07120000,ELA,         343,45,          54,7,         289,38,         315,41,         102,13,         760,98,     497,          48,         611
Monomoy Regional School District,07120000,MATH,         347,45,          50,7,         297,39,         328,43,          94,12,         769,99,     497,          52,         616
Monomoy Regional School District,07120000,SCI,         133,51,          20,8,         113,43,          98,37,          32,12,         263,98,     498,,
Monson,01910000,ELA,         132,33,           8,2,         124,31,         190,48,          78,20,         400,97,     490,          44,         327
Monson,01910000,MATH,          98,25,           4,1,          94,24,         224,56,          76,19,         398,96,     487,          53,         327
Monson,01910000,SCI,          39,30,           4,3,          35,27,          66,50,          27,20,         132,92,     488,,
Mount Greylock,07150000,ELA,         312,55,          51,9,         261,46,         206,36,          49,9,         567,99,     502,          49,         445
Mount Greylock,07150000,MATH,         279,49,          48,8,         231,41,         237,42,          50,9,         566,99,     500,          44,         442
Mount Greylock,07150000,SCI,         101,52,          17,9,          84,43,          79,40,          16,8,         196,99,     500,,
Mystic Valley Regional Charter (District),04700000,ELA,         505,58,          70,8,         435,50,         341,39,          28,3,         874,100,     504,          50,         686
Mystic Valley Regional Charter (District),04700000,MATH,         538,62,         100,11,         438,50,         309,35,          26,3,         873,100,     507,          55,         687
Mystic Valley Regional Charter (District),04700000,SCI,         130,49,          19,7,         111,42,         117,44,          20,7,         267,99,     500,,
Nahant,01960000,ELA,          26,41,           1,2,          25,39,          30,47,           8,13,          64,100,     496,          46,          42
Nahant,01960000,MATH,          23,36,           6,9,          17,27,          31,48,          10,16,          64,100,     496,          46,          42
Nahant,01960000,SCI,           7,54,           1,8,           6,46,           2,15,           4,31,          13,93,     494,,
Nantucket,01970000,ELA,         194,28,          26,4,         168,24,         309,44,         196,28,         699,99,     486,          51,         515
Nantucket,01970000,MATH,         172,25,          13,2,         159,23,         387,56,         138,20,         697,99,     488,          53,         520
Nantucket,01970000,SCI,          81,39,          15,7,          66,32,          91,44,          34,17,         206,99,     493,,
Narragansett,07200000,ELA,         192,28,           6,1,         186,27,         354,51,         144,21,         690,100,     488,          47,         563
Narragansett,07200000,MATH,         186,27,          16,2,         170,25,         351,51,         148,22,         685,100,     487,          44,         558
Narragansett,07200000,SCI,          70,29,           1,0,          69,29,         120,50,          48,20,         238,100,     488,,
Nashoba,07250000,ELA,         847,58,         157,11,         690,47,         489,34,         121,8,"       1,457",100,     503,          52,"       1,139"
Nashoba,07250000,MATH,         866,60,         156,11,         710,49,         473,33,         115,8,"       1,454",100,     504,          55,"       1,142"
Nashoba,07250000,SCI,         269,56,          48,10,         221,46,         166,35,          43,9,         478,100,     502,,
Natick,01980000,ELA,"       1,551",63,         342,14,"       1,209",49,         697,28,         215,9,"       2,463",99,     506,          55,"       1,930"
Natick,01980000,MATH,"       1,583",64,         408,17,"       1,175",48,         699,28,         189,8,"       2,471",100,     508,          56,"       1,936"
Natick,01980000,SCI,         514,63,         125,15,         389,48,         239,29,          65,8,         818,99,     506,,
Nauset,06600000,ELA,         237,52,          47,10,         190,42,         163,36,          53,12,         453,98,     500,          52,         417
Nauset,06600000,MATH,         154,34,          15,3,         139,31,         240,53,          59,13,         453,98,     493,          41,         416
Nauset,06600000,SCI,          76,44,           6,4,          70,41,          81,47,          14,8,         171,98,     497,,
Needham,01990000,ELA,"       1,849",72,         558,22,"       1,291",50,         588,23,         122,5,"       2,559",99,     513,          61,"       2,057"
Needham,01990000,MATH,"       1,903",74,         540,21,"       1,363",53,         553,22,         112,4,"       2,568",99,     513,          63,"       2,069"
Needham,01990000,SCI,         602,71,         158,19,         444,52,         192,23,          55,6,         849,98,     510,,
Neighborhood House Charter (District),04440000,ELA,          90,25,          14,4,          76,22,         183,52,          80,23,         353,98,     487,          50,         276
Neighborhood House Charter (District),04440000,MATH,          69,20,           4,1,          65,18,         165,47,         118,34,         352,98,     481,          37,         279
Neighborhood House Charter (District),04440000,SCI,          19,14,           1,1,          18,13,          57,42,          59,44,         135,99,     475,,
New Bedford,02010000,ELA,"       1,236",22,         106,2,"       1,130",20,"       2,486",44,"       1,952",34,"       5,674",99,     481,          45,"       4,112"
New Bedford,02010000,MATH,"       1,084",19,         121,2,         963,17,"       2,662",47,"       1,923",34,"       5,669",99,     481,          42,"       4,138"
New Bedford,02010000,SCI,         308,17,          15,1,         293,16,         872,49,         607,34,"       1,787",98,     480,,
New Heights Charter School of Brockton (District),35130000,ELA,          80,24,          10,3,          70,21,         168,50,          88,26,         336,98,     483,          51,         316
New Heights Charter School of Brockton (District),35130000,MATH,          60,18,           1,0,          59,17,         197,58,          82,24,         339,99,     484,          49,         324
New Heights Charter School of Brockton (District),35130000,SCI,           9,8,           0,0,           9,8,          74,66,          29,26,         112,97,     479,,
New Salem-Wendell,07280000,ELA,          22,29,           2,3,          20,26,          49,64,           5,7,          76,97,     493,          52,          54
New Salem-Wendell,07280000,MATH,          20,26,           2,3,          18,23,          48,62,           9,12,          77,99,     489,          54,          56
New Salem-Wendell,07280000,SCI,          10,53,           0,0,          10,53,           9,47,           0,0,          19,100,     497,,
Newburyport,02040000,ELA,         513,55,          85,9,         428,46,         336,36,          76,8,         925,99,     502,          54,         751
Newburyport,02040000,MATH,         443,48,          45,5,         398,43,         394,43,          88,10,         925,99,     498,          49,         747
Newburyport,02040000,SCI,         170,52,          29,9,         141,43,         133,40,          27,8,         330,99,     501,,
Newton,02070000,ELA,"       3,428",66,         895,17,"       2,533",49,"       1,301",25,         431,8,"       5,160",99,     508,          58,"       4,037"
Newton,02070000,MATH,"       3,578",69,"       1,132",22,"       2,446",47,"       1,196",23,         383,7,"       5,157",99,     511,          60,"       4,083"
Newton,02070000,SCI,"       1,209",69,         325,19,         884,51,         421,24,         116,7,"       1,746",99,     509,,
Norfolk,02080000,ELA,         332,58,          50,9,         282,49,         208,36,          33,6,         573,99,     504,          50,         417
Norfolk,02080000,MATH,         378,66,          68,12,         310,54,         167,29,          27,5,         572,99,     508,          54,         416
Norfolk,02080000,SCI,          72,56,          10,8,          62,48,          44,34,          13,10,         129,99,     500,,
North Adams,02090000,ELA,         106,22,          13,3,          93,19,         211,43,         175,36,         492,99,     481,          44,         357
North Adams,02090000,MATH,         117,24,          17,3,         100,20,         216,44,         159,32,         492,99,     484,          50,         361
North Adams,02090000,SCI,          34,22,           4,3,          30,20,          63,41,          55,36,         152,97,     482,,
North Andover,02110000,ELA,         945,47,         160,8,         785,39,         776,39,         280,14,"       2,001",99,     498,          47,"       1,578"
North Andover,02110000,MATH,"       1,051",52,         186,9,         865,43,         748,37,         207,10,"       2,006",99,     501,          51,"       1,585"
North Andover,02110000,SCI,         332,49,          52,8,         280,42,         256,38,          83,12,         671,99,     498,,
North Attleborough,02120000,ELA,         848,45,         110,6,         738,39,         798,43,         226,12,"       1,872",98,     497,          48,"       1,471"
North Attleborough,02120000,MATH,         819,44,         102,5,         717,38,         801,43,         262,14,"       1,882",98,     496,          47,"       1,471"
North Attleborough,02120000,SCI,         324,51,          69,11,         255,40,         225,36,          82,13,         631,98,     500,,
North Brookfield,02150000,ELA,          43,19,           0,0,          43,19,         128,58,          50,23,         221,99,     483,          45,         159
North Brookfield,02150000,MATH,          48,22,           2,1,          46,21,         115,53,          55,25,         218,98,     486,          38,         157
North Brookfield,02150000,SCI,          16,21,           0,0,          16,21,          38,49,          23,30,          77,97,     482,,
North Middlesex,07350000,ELA,         582,41,          58,4,         524,37,         665,46,         186,13,"       1,433",99,     494,          48,"       1,142"
North Middlesex,07350000,MATH,         523,36,          46,3,         477,33,         708,49,         206,14,"       1,437",99,     493,          47,"       1,149"
North Middlesex,07350000,SCI,         200,43,          19,4,         181,39,         212,45,          54,12,         466,99,     494,,
North Reading,02170000,ELA,         780,72,         170,16,         610,56,         261,24,          41,4,"       1,082",99,     511,          59,         866
North Reading,02170000,MATH,         748,69,         162,15,         586,54,         290,27,          45,4,"       1,083",99,     510,          52,         867
North Reading,02170000,SCI,         290,78,         115,31,         175,47,          69,19,          11,3,         370,99,     517,,
Northampton,02100000,ELA,         485,46,          66,6,         419,40,         386,36,         189,18,"       1,060",95,     495,          45,         852
Northampton,02100000,MATH,         384,36,          52,5,         332,31,         439,41,         236,22,"       1,059",95,     490,          45,         843
Northampton,02100000,SCI,         186,48,          29,7,         157,40,         129,33,          76,19,         391,95,     494,,
Northborough,02130000,ELA,         594,53,          78,7,         516,46,         407,37,         111,10,"       1,112",99,     500,          50,         885
Northborough,02130000,MATH,         619,55,         131,12,         488,44,         406,36,          93,8,"       1,118",99,     503,          51,         894
Northborough,02130000,SCI,         237,62,          51,13,         186,49,         114,30,          31,8,         382,98,     505,,
Northbridge,02140000,ELA,         287,35,          27,3,         260,32,         366,44,         171,21,         824,98,     490,          48,         626
Northbridge,02140000,MATH,         290,35,          24,3,         266,32,         376,46,         156,19,         822,98,     490,          47,         628
Northbridge,02140000,SCI,         100,37,           7,3,          93,34,         119,44,          51,19,         270,95,     491,,
Norton,02180000,ELA,         405,38,          45,4,         360,34,         498,47,         152,14,"       1,055",97,     494,          47,         841
Norton,02180000,MATH,         358,34,          37,4,         321,31,         538,51,         149,14,"       1,045",96,     493,          43,         830
Norton,02180000,SCI,         116,34,           9,3,         107,32,         147,43,          75,22,         338,90,     489,,
Norwell,02190000,ELA,         707,67,         150,14,         557,53,         294,28,          56,5,"       1,057",99,     508,          54,         865
Norwell,02190000,MATH,         718,68,         154,15,         564,53,         305,29,          38,4,"       1,061",100,     509,          55,         869
Norwell,02190000,SCI,         232,64,          49,14,         183,51,         112,31,          18,5,         362,99,     506,,
Norwood,02200000,ELA,         602,38,          69,4,         533,33,         672,42,         318,20,"       1,592",99,     492,          45,"       1,217"
Norwood,02200000,MATH,         569,36,          89,6,         480,30,         692,43,         334,21,"       1,595",99,     492,          43,"       1,235"
Norwood,02200000,SCI,         215,41,          44,8,         171,32,         210,40,         104,20,         529,99,     494,,
Oak Bluffs,02210000,ELA,         101,41,          17,7,          84,34,         121,49,          24,10,         246,100,     496,          53,         201
Oak Bluffs,02210000,MATH,         124,50,          16,7,         108,44,         102,41,          20,8,         246,100,     500,          57,         203
Oak Bluffs,02210000,SCI,          43,52,           6,7,          37,45,          29,35,          11,13,          83,100,     500,,
Old Rochester,07400000,ELA,         198,49,          33,8,         165,41,         164,41,          39,10,         401,100,     499,          43,         385
Old Rochester,07400000,MATH,         167,42,          21,5,         146,37,         195,49,          38,10,         400,100,     497,          39,         384
Old Rochester,07400000,SCI,          86,44,           7,4,          79,40,          95,48,          15,8,         196,99,     497,,
Old Sturbridge Academy Charter Public School (District),35150000,ELA,          66,29,           9,4,          57,25,         113,50,          48,21,         227,100,     487,          48,         176
Old Sturbridge Academy Charter Public School (District),35150000,MATH,          46,20,           6,3,          40,18,         115,50,          67,29,         228,99,     483,          49,         177
Old Sturbridge Academy Charter Public School (District),35150000,SCI,          27,36,           1,1,          26,34,          29,38,          20,26,          76,99,     488,,
Orange,02230000,ELA,          43,15,           1,0,          42,15,         142,51,          93,33,         278,99,     479,          40,         177
Orange,02230000,MATH,          52,19,           1,0,          51,18,         140,51,          84,30,         276,98,     481,          46,         175
Orange,02230000,SCI,          22,31,           2,3,          20,28,          31,44,          18,25,          71,97,     487,,
Orleans,02240000,ELA,          53,69,           8,10,          45,58,          21,27,           3,4,          77,99,     508,          54,          40
Orleans,02240000,MATH,          48,62,           9,12,          39,51,          20,26,           9,12,          77,99,     506,          62,          41
Orleans,02240000,SCI,          19,86,           3,14,          16,73,           2,9,           1,5,          22,100,     516,,
Oxford,02260000,ELA,         231,33,          23,3,         208,30,         314,45,         147,21,         692,97,     489,          47,         540
Oxford,02260000,MATH,         187,27,          18,3,         169,25,         348,51,         153,22,         688,97,     488,          39,         538
Oxford,02260000,SCI,          78,32,          11,5,          67,28,         109,45,          55,23,         242,98,     489,,
Palmer,02270000,ELA,         143,26,           8,1,         135,24,         253,46,         156,28,         552,98,     485,          45,         414
Palmer,02270000,MATH,         159,29,          17,3,         142,26,         272,49,         119,22,         550,98,     488,          47,         416
Palmer,02270000,SCI,          43,27,           4,3,          39,24,          73,46,          44,28,         160,98,     487,,
Peabody,02290000,ELA,         800,30,          49,2,         751,28,"       1,218",45,         692,26,"       2,710",100,     486,          45,"       2,034"
Peabody,02290000,MATH,         831,31,          82,3,         749,28,"       1,239",47,         588,22,"       2,658",98,     489,          50,"       2,010"
Peabody,02290000,SCI,         295,33,          30,3,         265,29,         374,42,         232,26,         901,99,     487,,
Pelham,02300000,ELA,          37,49,           3,4,          34,45,          31,41,           7,9,          75,96,     498,          43,          50
Pelham,02300000,MATH,          38,54,           7,10,          31,44,          28,39,           5,7,          71,90,     503,          48,          50
Pelham,02300000,SCI,           9,53,           1,6,           8,47,           7,41,           1,6,          17,94,     505,,
Pembroke,02310000,ELA,         435,41,          38,4,         397,37,         505,47,         128,12,"       1,068",98,     495,          39,         852
Pembroke,02310000,MATH,         589,55,          99,9,         490,46,         413,38,          74,7,"       1,076",99,     503,          51,         859
Pembroke,02310000,SCI,         126,38,          14,4,         112,34,         163,50,          40,12,         329,98,     494,,
Pentucket,07450000,ELA,         499,48,          71,7,         428,41,         415,40,         131,13,"       1,045",99,     498,          47,         807
Pentucket,07450000,MATH,         520,50,          86,8,         434,41,         406,39,         124,12,"       1,050",99,     500,          50,         810
Pentucket,07450000,SCI,         168,49,          31,9,         137,40,         140,41,          35,10,         343,98,     499,,
Petersham,02340000,ELA,          45,54,          12,14,          33,40,          29,35,           9,11,          83,98,     502,          66,          62
Petersham,02340000,MATH,          37,45,           4,5,          33,40,          37,45,           8,10,          82,96,     495,          68,          63
Petersham,02340000,SCI,          16,76,           4,19,          12,57,           3,14,           2,10,          21,100,     512,,
Pioneer Charter School of Science (District),04940000,ELA,         235,62,          56,15,         179,47,         109,29,          34,9,         378,100,     506,          58,         307
Pioneer Charter School of Science (District),04940000,MATH,         261,69,          82,22,         179,47,          95,25,          22,6,         378,100,     511,          60,         306
Pioneer Charter School of Science (District),04940000,SCI,          85,67,          25,20,          60,48,          32,25,           9,7,         126,100,     509,,
Pioneer Charter School of Science II (District),35060000,ELA,         153,62,          36,15,         117,48,          77,31,          15,6,         245,100,     506,          67,         173
Pioneer Charter School of Science II (District),35060000,MATH,         181,74,          46,19,         135,55,          50,20,          14,6,         245,100,     512,          74,         174
Pioneer Charter School of Science II (District),35060000,SCI,          41,56,           5,7,          36,49,          28,38,           4,5,          73,100,     501,,
Pioneer Valley,07500000,ELA,         105,35,          15,5,          90,30,         142,48,          51,17,         298,96,     492,          49,         231
Pioneer Valley,07500000,MATH,          92,31,           6,2,          86,29,         147,50,          54,18,         293,95,     489,          47,         228
Pioneer Valley,07500000,SCI,          44,47,           6,6,          38,41,          35,38,          14,15,          93,98,     497,,
