2024 Per Pupil Expenditure,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil
Sherborn,02690000,"           $8,964,068.00",             414.5,"              $21,624.19","           $9,975,794.54",             422.5,"              $23,609.17"
Shrewsbury,02710000,"         $107,596,121.00","           5,927.9","              $18,150.95","         $116,697,433.70","           6,128.9","              $19,040.39"
Shutesbury,02720000,"           $3,017,100.00",             110.2,"              $27,382.54","           $3,267,765.33",             128.7,"              $25,395.82"
Silver Lake,07600000,"          $36,228,373.00","           1,580.2","              $22,926.77","          $37,847,260.79","           1,681.6","              $22,507.17"
Sizer School: A North Central Charter Essential (District),04740000,"           $5,829,226.33",             309.6,"              $18,825.82","           $5,829,226.33",             309.6,"              $18,825.82"
Somerset,02730000,"          $31,705,824.21","           1,609.3","              $19,701.56","          $33,566,773.53","           1,663.7","              $20,176.44"
Somerset Berkley Regional School District,07630000,"          $18,347,588.76",             940.3,"              $19,511.56","          $21,196,129.20",             991.2,"              $21,383.88"
Somerville,02740000,"         $136,354,106.80","           4,974.7","              $27,409.51","         $152,133,921.90","           5,355.6","              $28,406.68"
South Hadley,02780000,"          $32,544,367.87","           1,642.9","              $19,809.43","          $39,389,551.05","           1,949.9","              $20,200.44"
South Middlesex Regional Vocational Technical,08290000,"          $27,069,622.66",             853.1,"              $31,732.75","          $27,069,622.66",             853.1,"              $31,732.75"
South Shore Charter Public (District),04880000,"          $19,180,784.08","           1,060.2","              $18,091.84","          $19,180,784.08","           1,060.2","              $18,091.84"
South Shore Regional Vocational Technical,08730000,"          $19,811,402.00",             659.9,"              $30,020.81","          $19,811,402.00",             659.9,"              $30,020.81"
Southampton,02750000,"           $7,809,425.55",             472.4,"              $16,533.13","           $9,548,122.48",             549.1,"              $17,388.08"
Southborough,02760000,"          $29,436,238.60","           1,303.8","              $22,578.04","          $31,876,356.40","           1,333.1","              $23,911.69"
Southbridge,02770000,"          $46,430,703.01","           1,888.6","              $24,585.30","          $54,818,209.11","           2,306.3","              $23,768.91"
Southeastern Regional Vocational Technical,08720000,"          $39,916,984.00","           1,564.8","              $25,508.78","          $39,921,984.00","           1,565.8","              $25,495.68"
Southern Berkshire,07650000,"          $20,348,754.74",             613.6,"              $33,162.30","          $21,525,250.47",             757.7,"              $28,410.46"
Southern Worcester County Regional Vocational School District,08760000,"          $28,427,177.46","           1,159.6","              $24,515.58","          $28,763,215.23","           1,214.0","              $23,693.02"
Southwick-Tolland-Granville Regional School District,07660000,"          $26,661,633.62","           1,312.8","              $20,308.38","          $29,716,848.73","           1,431.9","              $20,753.07"
Spencer-E Brookfield,07670000,"          $26,845,662.00","           1,403.1","              $19,132.58","          $31,853,195.09","           1,677.4","              $18,989.54"
Springfield,02810000,"         $631,330,588.00","          23,722.9","              $26,612.69","         $749,025,113.50","          29,467.9","              $25,418.32"
Springfield International Charter (District),04410000,"          $25,273,676.35","           1,481.3","              $17,061.71","          $25,273,676.35","           1,481.3","              $17,061.71"
Springfield Preparatory Charter School (District),35100000,"           $9,568,931.39",             485.1,"              $19,724.06","           $9,568,931.39",             485.1,"              $19,724.06"
Stoneham,02840000,"          $48,412,220.72","           2,293.2","              $21,111.16","          $57,023,777.39","           2,538.2","              $22,466.02"
Stoughton,02850000,"          $72,769,567.00","           3,807.4","              $19,112.72","          $81,095,029.03","           4,015.8","              $20,194.10"
Sturbridge,02870000,"          $16,301,818.58",             904.4,"              $18,024.57","          $20,017,818.54",             941.7,"              $21,257.96"
Sturgis Charter Public (District),04890000,"          $16,265,942.58",             824.7,"              $19,722.51","          $16,265,942.58",             824.7,"              $19,722.51"
Sudbury,02880000,"          $56,005,026.00","           2,547.7","              $21,982.87","          $57,646,029.00","           2,578.7","              $22,354.31"
Sunderland,02890000,"           $5,348,008.26",             191.3,"              $27,950.45","           $5,498,791.93",             208.9,"              $26,317.70"
Sutton,02900000,"          $24,498,389.75","           1,309.2","              $18,712.41","          $27,190,444.12","           1,381.6","              $19,680.81"
Swampscott,02910000,"          $41,222,288.61","           2,070.2","              $19,912.01","          $47,865,984.38","           2,202.2","              $21,735.64"
Swansea,02920000,"          $35,317,690.38","           2,036.4","              $17,343.10","          $37,846,446.38","           2,106.5","              $17,966.86"
TEC Connections Academy Commonwealth Virtual School District,39020000,"          $26,758,228.70","           2,936.9","               $9,111.01","          $26,758,228.70","           2,936.9","               $9,111.01"
Tantasqua,07700000,"          $31,601,495.00","           1,749.3","              $18,065.22","          $32,044,256.94","           1,814.3","              $17,661.97"
Taunton,02930000,"         $153,095,246.10","           8,112.7","              $18,871.02","         $169,407,296.80","           8,647.5","              $19,590.29"
Tewksbury,02950000,"          $68,271,445.97","           3,255.0","              $20,974.22","          $79,404,942.89","           3,423.3","              $23,195.20"
Tisbury,02960000,"          $11,186,519.00",             280.1,"              $39,933.63","          $12,593,683.66",             381.8,"              $32,984.36"
Topsfield,02980000,"          $13,720,268.65",             616.7,"              $22,248.08","          $14,077,453.65",             624.7,"              $22,534.94"
Tri-County Regional Vocational Technical,08780000,"          $24,343,195.00",             955.8,"              $25,468.48","          $24,345,255.45",             956.1,"              $25,462.91"
Triton,07730000,"          $51,640,424.00","           2,113.3","              $24,436.24","          $57,570,898.28","           2,312.3","              $24,897.55"
Truro,03000000,"           $5,020,021.92",              91.3,"              $54,980.47","           $7,698,463.69",             195.1,"              $39,451.65"
Tyngsborough,03010000,"          $29,366,742.00","           1,540.9","              $19,057.97","          $33,897,772.05","           1,689.5","              $20,064.20"
UP Academy Charter School of Boston (District),04800000,"           $8,250,712.64",             159.2,"              $51,811.62","           $8,250,712.64",             159.2,"              $51,811.62"
UP Academy Charter School of Dorchester (District),35050000,"          $12,795,448.74",             580.1,"              $22,058.56","          $12,795,448.74",             580.1,"              $22,058.56"
Up-Island Regional,07740000,"          $14,349,403.00",             401.5,"              $35,738.50","          $15,804,043.55",             455.1,"              $34,727.21"
Upper Cape Cod Regional Vocational Technical,08790000,"          $22,122,204.00",             814.6,"              $27,156.58","          $22,173,280.57",             823.7,"              $26,918.90"
Uxbridge,03040000,"          $33,444,420.00","           1,637.1","              $20,429.06","          $38,838,843.53","           1,808.7","              $21,472.91"
Veritas Preparatory Charter School (District),04980000,"          $13,061,701.05",             598.8,"              $21,814.22","          $13,061,701.05",             598.8,"              $21,814.22"
Wachusett,07750000,"         $112,456,183.60","           6,661.1","              $16,882.65","         $126,944,971.50","           6,937.8","              $18,297.64"
Wakefield,03050000,"          $67,879,388.00","           3,353.6","              $20,240.99","          $72,416,871.54","           3,491.1","              $20,743.16"
Wales,03060000,"           $2,559,006.54",              92.9,"              $27,542.52","           $3,177,527.65",             122.1,"              $26,017.35"
Walpole,03070000,"          $70,326,751.50","           3,646.5","              $19,286.16","          $75,906,001.44","           3,739.6","              $20,297.71"
Waltham,03080000,"         $146,930,813.30","           5,730.7","              $25,639.04","         $156,358,127.30","           5,922.1","              $26,402.48"
Ware,03090000,"          $22,296,705.47","           1,095.8","              $20,347.73","          $25,455,128.11","           1,309.7","              $19,436.18"
Wareham,03100000,"          $47,203,729.51","           1,960.0","              $24,083.33","          $55,620,470.04","           2,348.0","              $23,687.95"
Watertown,03140000,"          $69,656,249.91","           2,735.4","              $25,465.00","          $78,308,297.15","           2,855.0","              $27,428.27"
Wayland,03150000,"          $62,471,792.24","           2,760.0","              $22,634.48","          $66,445,067.80","           2,809.5","              $23,649.81"
Webster,03160000,"          $38,487,899.29","           1,691.0","              $22,760.89","          $45,319,973.01","           1,975.6","              $22,940.33"
Wellesley,03170000,"         $115,932,138.70","           4,086.5","              $28,369.35","         $124,192,652.30","           4,157.9","              $29,869.34"
Wellfleet,03180000,"           $3,725,843.00",              85.0,"              $43,850.64","           $3,975,999.71",             107.4,"              $37,015.89"
West Boylston,03220000,"          $17,739,110.54",             902.3,"              $19,660.61","          $20,937,567.27",             986.5,"              $21,224.36"
West Bridgewater,03230000,"          $22,426,639.89","           1,396.3","              $16,061.73","          $24,786,339.25","           1,431.8","              $17,311.60"
West Springfield,03320000,"          $75,123,216.57","           4,004.2","              $18,760.97","          $83,837,999.84","           4,244.6","              $19,751.82"
Westborough,03210000,"          $79,864,903.85","           3,889.3","              $20,534.46","          $83,704,903.46","           3,952.5","              $21,177.97"
