District Name,District Code,K,01,02,03,04,05,06,07,08,09,10,11,12,All Grades,Total Students
Beverly,00300000,     354,     340,     351,     339,     353,     367,     329,     358,     316,     163,     265,     225,     172,"   3,932","       4,323"
Billerica,00310000,     400,     395,     397,     406,     425,     365,     364,     366,     274,     258,     168,     155,     246,"   4,219","       4,769"
Blackstone Valley Regional Vocational Technical,08050000,,,,,,,,,,      98,      62,     121,     209,     490,"       1,241"
Blackstone-Millville,06220000,     103,     104,     101,      94,     116,     123,     111,     131,      90,     104,      90,      74,      82,"   1,323","       1,421"
Blue Hills Regional Vocational Technical,08060000,,,,,,,,,,      30,      16,      81,      97,     224,         899
Boston,00350000,"   3,324","   3,401","   3,405","   3,316","   3,224","   3,006","   2,178","   2,461","   2,336","   1,860","   1,566","   1,727","   1,967","  33,771","      43,888"
Boston Collegiate Charter (District),04490000,,,,,,     100,     103,      88,      95,      84,      84,      62,      68,     684,         703
Boston Day and Evening Academy Charter (District),04240000,,,,,,,,,,      17,       9,       1,      52,      79,         388
Boston Green Academy Horace Mann Charter School (District),04110000,,,,,,,,      69,      70,      68,      53,      35,      18,     313,         402
Boston Preparatory Charter Public (District),04160000,,,,,,,      83,     102,     113,      73,      95,      50,      42,     558,         686
Boston Renaissance Charter Public (District),04810000,     134,     138,     139,     128,     128,      97,      72,,,,,,,     836,         842
Bourne,00360000,     114,     125,     113,     120,     113,     128,     119,     148,     125,      77,      33,      30,      58,"   1,303","       1,440"
Boxford,00380000,     105,     116,      99,     102,     106,     107,      93,,,,,,,     728,         729
