District Name,District Code,Group,#,Attendance Rate Percentage,Average # of Absences
Springfield,02810000,Teachers,"   2,338",93.9,11.4
Springfield International Charter (District),04410000,All Staff,     236,93.9,11.1
Springfield International Charter (District),04410000,Administrators,      28,93.6,13.6
Springfield International Charter (District),04410000,Teachers,     108,94.3,10.1
Springfield Preparatory Charter School (District),35100000,All Staff,      85,94.9,10.5
Springfield Preparatory Charter School (District),35100000,Administrators,      17,99.2,2.0
Springfield Preparatory Charter School (District),35100000,Teachers,      49,93.8,12.0
Stoneham,02840000,All Staff,     435,93.1,12.4
Stoneham,02840000,Administrators,      23,91.5,19.0
Stoneham,02840000,Teachers,     223,93.3,12.0
Stoughton,02850000,All Staff,     630,92.8,13.3
Stoughton,02850000,Administrators,      40,94.8,11.8
Stoughton,02850000,Teachers,     336,92.5,13.6
Sturbridge,02870000,All Staff,     147,93.5,11.6
Sturbridge,02870000,Administrators,       9,95.3,10.3
Sturbridge,02870000,Teachers,      70,93.7,11.3
Sturgis Charter Public (District),04890000,All Staff,     153,96.2,6.8
Sturgis Charter Public (District),04890000,Administrators,      11,96.9,5.5
Sturgis Charter Public (District),04890000,Teachers,     102,96.1,7.1
Sudbury,02880000,All Staff,     508,92.9,13.0
Sudbury,02880000,Administrators,      30,93.8,13.0
Sudbury,02880000,Teachers,     227,92.7,13.3
Sunderland,02890000,All Staff,      83,93.8,10.9
Sunderland,02890000,Administrators,       7,95.0,11.1
Sunderland,02890000,Teachers,      28,93.2,11.9
Sutton,02900000,All Staff,     225,96.2,1.1
Sutton,02900000,Administrators,      10,97.6,0.8
Sutton,02900000,Teachers,     101,97.7,0.6
Swampscott,02910000,All Staff,     345,92.5,13.5
Swampscott,02910000,Administrators,      30,92.0,15.8
Swampscott,02910000,Teachers,     189,92.3,14.0
Swansea,02920000,All Staff,     280,92.9,13.5
Swansea,02920000,Administrators,      25,91.4,18.6
Swansea,02920000,Teachers,     164,93.4,12.0
TEC Connections Academy Commonwealth Virtual School District,39020000,All Staff,     257,91.8,14.8
TEC Connections Academy Commonwealth Virtual School District,39020000,Administrators,      30,90.5,21.0
TEC Connections Academy Commonwealth Virtual School District,39020000,Teachers,     155,93.3,12.1
Tantasqua,07700000,All Staff,     251,94.6,9.6
Tantasqua,07700000,Administrators,      15,97.0,6.3
Tantasqua,07700000,Teachers,     151,94.5,9.9
Taunton,02930000,All Staff,"   1,156",93.5,11.8
Taunton,02930000,Administrators,      65,96.3,8.0
Taunton,02930000,Teachers,     607,93.1,12.5
Tewksbury,02950000,All Staff,     546,93.7,11.3
Tewksbury,02950000,Administrators,      21,94.9,11.2
Tewksbury,02950000,Teachers,     260,92.9,13.0
Tisbury,02960000,All Staff,     154,91.4,9.0
Tisbury,02960000,Administrators,      10,95.5,4.2
Tisbury,02960000,Teachers,      50,90.6,14.3
Topsfield,02980000,All Staff,     161,97.4,4.7
Topsfield,02980000,Administrators,      14,98.7,2.7
Topsfield,02980000,Teachers,      59,97.7,4.2
Tri-County Regional Vocational Technical,08780000,All Staff,     152,93.6,11.6
Tri-County Regional Vocational Technical,08780000,Administrators,      14,96.0,8.4
Tri-County Regional Vocational Technical,08780000,Teachers,      92,93.3,11.9
Triton,07730000,All Staff,     417,95.2,8.8
Triton,07730000,Administrators,      21,98.5,3.0
Triton,07730000,Teachers,     203,95.5,8.3
Truro,03000000,All Staff,      31,92.6,12.6
Truro,03000000,Administrators,       4,-,-
Truro,03000000,Teachers,      17,93.6,10.3
Tyngsborough,03010000,All Staff,     224,92.5,13.6
Tyngsborough,03010000,Administrators,      17,91.9,18.0
Tyngsborough,03010000,Teachers,     125,93.2,12.4
UP Academy Charter School of Dorchester (District),35050000,All Staff,     107,93.4,11.4
UP Academy Charter School of Dorchester (District),35050000,Administrators,      10,94.9,9.2
UP Academy Charter School of Dorchester (District),35050000,Teachers,      57,93.0,12.5
Up-Island Regional,07740000,All Staff,     185,90.3,11.3
Up-Island Regional,07740000,Administrators,      10,93.8,6.5
Up-Island Regional,07740000,Teachers,      70,89.6,15.8
Upper Cape Cod Regional Vocational Technical,08790000,All Staff,     115,92.9,12.7
Upper Cape Cod Regional Vocational Technical,08790000,Administrators,       6,96.8,7.3
Upper Cape Cod Regional Vocational Technical,08790000,Teachers,      89,93.8,11.2
Uxbridge,03040000,All Staff,     279,92.2,13.9
Uxbridge,03040000,Administrators,      12,97.1,5.9
Uxbridge,03040000,Teachers,     134,92.5,13.6
Veritas Preparatory Charter School (District),04980000,All Staff,     141,98.9,2.0
Veritas Preparatory Charter School (District),04980000,Administrators,      27,99.6,0.9
Veritas Preparatory Charter School (District),04980000,Teachers,      89,98.7,2.2
Wachusett,07750000,All Staff,     954,93.4,12.0
Wachusett,07750000,Administrators,      47,91.6,17.6
Wachusett,07750000,Teachers,     510,94.3,10.3
Wakefield,03050000,All Staff,     538,94.6,10.0
Wakefield,03050000,Administrators,      37,96.5,7.2
Wakefield,03050000,Teachers,     305,95.1,8.9
Wales,03060000,All Staff,      30,96.3,6.8
Wales,03060000,Administrators,       6,97.0,6.7
Wales,03060000,Teachers,      12,96.2,6.9
Walpole,03070000,All Staff,     556,93.6,11.5
Walpole,03070000,Administrators,      39,95.4,9.0
Walpole,03070000,Teachers,     317,94.0,10.9
Waltham,03080000,All Staff,"   1,059",92.7,13.2
Waltham,03080000,Administrators,      55,93.2,14.7
Waltham,03080000,Teachers,     608,92.9,12.7
Ware,03090000,All Staff,     180,94.0,10.4
Ware,03090000,Administrators,      11,96.5,7.5
Ware,03090000,Teachers,      91,93.6,11.1
Wareham,03100000,All Staff,     355,91.8,15.2
Wareham,03100000,Administrators,      15,93.2,14.9
Wareham,03100000,Teachers,     191,92.3,14.0
Warwick,03120000,All Staff,      16,96.8,4.9
Warwick,03120000,Administrators,       5,-,-
Warwick,03120000,Teachers,       7,97.3,4.3
Watertown,03140000,All Staff,     600,92.2,14.1
Watertown,03140000,Administrators,      38,95.3,10.0
Watertown,03140000,Teachers,     302,92.5,13.6
Wayland,03150000,All Staff,     514,94.7,9.7
Wayland,03150000,Administrators,      48,96.5,6.7
Wayland,03150000,Teachers,     267,94.6,9.9
Webster,03160000,All Staff,     314,91.9,14.5
Webster,03160000,Administrators,      17,95.5,9.5
Webster,03160000,Teachers,     146,92.0,14.5
Wellesley,03170000,All Staff,     868,95.1,8.7
Wellesley,03170000,Administrators,      55,95.9,7.9
Wellesley,03170000,Teachers,     405,95.3,8.6
Wellfleet,03180000,All Staff,      45,97.9,3.9
Wellfleet,03180000,Administrators,      10,100.0,0.0
Wellfleet,03180000,Teachers,      12,95.4,8.1
West Boylston,03220000,All Staff,     155,93.9,11.3
West Boylston,03220000,Administrators,       8,99.1,2.3
West Boylston,03220000,Teachers,      85,93.7,11.6
West Bridgewater,03230000,All Staff,     191,94.6,9.9
West Bridgewater,03230000,Administrators,      10,96.1,9.0
West Bridgewater,03230000,Teachers,     104,94.5,9.8
West Springfield,03320000,All Staff,     711,90.7,16.5
West Springfield,03320000,Administrators,      36,93.4,12.7
West Springfield,03320000,Teachers,     364,91.8,15.0
Westborough,03210000,All Staff,     675,93.0,11.7
Westborough,03210000,Administrators,      39,95.7,7.7
Westborough,03210000,Teachers,     372,92.9,12.1
Westfield,03250000,All Staff,     885,91.0,16.3
Westfield,03250000,Administrators,      50,91.9,17.5
Westfield,03250000,Teachers,     435,91.7,14.7
Westford,03260000,All Staff,     728,94.3,10.5
Westford,03260000,Administrators,      40,90.5,21.2
Westford,03260000,Teachers,     366,94.2,10.4
Westhampton,03270000,All Staff,      45,93.2,10.2
Westhampton,03270000,Administrators,       5,-,-
Westhampton,03270000,Teachers,      19,92.1,11.4
Weston,03300000,All Staff,     435,93.1,12.1
Weston,03300000,Administrators,      34,93.4,13.7
Weston,03300000,Teachers,     206,92.4,13.7
Westport,03310000,All Staff,     260,93.5,12.0
Westport,03310000,Administrators,      17,93.5,16.3
Westport,03310000,Teachers,     134,93.7,11.4
Westwood,03350000,All Staff,     534,94.5,9.9
Westwood,03350000,Administrators,      45,96.7,6.9
Westwood,03350000,Teachers,     245,94.6,9.7
Weymouth,03360000,All Staff,     879,92.5,13.8
Weymouth,03360000,Administrators,      51,95.1,10.9
Weymouth,03360000,Teachers,     442,92.3,14.1
Whately,03370000,All Staff,      57,95.1,9.5
Whately,03370000,Administrators,       7,95.4,10.4
Whately,03370000,Teachers,      18,95.3,8.2
Whitman-Hanson,07800000,All Staff,     522,93.2,12.4
Whitman-Hanson,07800000,Administrators,      34,95.5,9.8
Whitman-Hanson,07800000,Teachers,     257,93.2,12.3
Whittier Regional Vocational Technical,08850000,All Staff,     159,95.3,8.6
Whittier Regional Vocational Technical,08850000,Administrators,      16,96.6,7.3
Whittier Regional Vocational Technical,08850000,Teachers,     127,95.2,8.6
Williamsburg,03400000,All Staff,      41,93.7,10.4
Williamsburg,03400000,Administrators,       5,-,-
Williamsburg,03400000,Teachers,      19,93.3,10.5
Wilmington,03420000,All Staff,     517,93.9,11.0
Wilmington,03420000,Administrators,      33,96.4,7.6
Wilmington,03420000,Teachers,     281,93.8,11.1
Winchendon,03430000,All Staff,     189,94.5,9.4
Winchendon,03430000,Administrators,      15,98.4,2.7
Winchendon,03430000,Teachers,      88,94.7,9.1
Winchester,03440000,All Staff,     681,94.1,10.8
Winchester,03440000,Administrators,      50,96.6,7.0
Winchester,03440000,Teachers,     381,93.9,11.2
Winthrop,03460000,All Staff,     321,92.3,14.1
Winthrop,03460000,Administrators,      29,92.5,14.7
Winthrop,03460000,Teachers,     138,91.8,14.8
Woburn,03470000,All Staff,     830,92.8,12.6
Woburn,03470000,Administrators,      42,97.6,4.3
Woburn,03470000,Teachers,     419,93.1,12.2
Worcester,03480000,All Staff,"   4,185",92.6,13.5
Worcester,03480000,Administrators,     341,94.1,12.3
Worcester,03480000,Teachers,"   2,077",92.7,13.3
Worcester Cultural Academy Charter Public School (District),35190000,All Staff,      38,94.8,8.7
Worcester Cultural Academy Charter Public School (District),35190000,Administrators,       3,-,-
Worcester Cultural Academy Charter Public School (District),35190000,Teachers,      14,96.6,6.1
Worthington,03490000,All Staff,      25,90.9,12.2
Worthington,03490000,Administrators,       2,-,-
Worthington,03490000,Teachers,      10,90.8,12.7
Wrentham,03500000,All Staff,     178,90.6,16.8
Wrentham,03500000,Administrators,       9,95.1,10.9
Wrentham,03500000,Teachers,      85,90.7,16.5
State Totals,00000000,All Staff," 159,653",93.4,11.9
State Totals,00000000,Administrators,"  12,264",94.5,11.3
State Totals,00000000,Teachers,"  82,453",93.5,11.7
