District Name,District Code,# in Cohort,Percentage Graduated,Percentage Still in School,Percentage Non-Grad Completers,Percentage H.S. Equiv.,Percentage Dropped Out,Percentage Permanently Excluded
Mount Greylock,07150000,        72,    95.8,     0.0,     0.0,     0.0,     4.2,     0.0
Mystic Valley Regional Charter (District),04700000,        76,    96.1,     3.9,     0.0,     0.0,     0.0,     0.0
Nantucket,01970000,       160,    90.6,     2.5,     0.6,     0.0,     6.2,     0.0
Narragansett,07200000,        88,    90.9,     3.4,     0.0,     1.1,     4.5,     0.0
Nashoba,07250000,       206,    94.2,     3.9,     0.0,     0.5,     1.5,     0.0
Nashoba Valley Regional Vocational Technical,08520000,       176,    97.2,     2.3,     0.0,     0.0,     0.6,     0.0
Natick,01980000,       393,    94.9,     2.3,     0.3,     0.3,     2.3,     0.0
Nauset,06600000,       206,    96.1,     2.9,     0.0,     0.0,     1.0,     0.0
Needham,01990000,       420,    97.9,     1.7,     0.0,     0.0,     0.5,     0.0
Neighborhood House Charter (District),04440000,        68,    79.4,     4.4,     2.9,     1.5,    11.8,     0.0
New Bedford,02010000,       861,    79.9,     5.1,     0.3,     0.9,    13.7,     0.0
New Heights Charter School of Brockton (District),35130000,       108,    96.3,     2.8,     0.0,     0.0,     0.9,     0.0
Newburyport,02040000,       204,    97.1,     1.5,     0.5,     0.0,     1.0,     0.0
Newton,02070000,"     1,021",    95.5,     3.0,     0.0,     0.1,     1.4,     0.0
Norfolk County Agricultural,09150000,       147,    98.6,     0.0,     0.0,     0.0,     1.4,     0.0
North Adams,02090000,        87,    83.9,     8.0,     0.0,     0.0,     8.0,     0.0
North Andover,02110000,       347,    96.5,     0.9,     0.6,     0.3,     1.7,     0.0
North Attleborough,02120000,       315,    92.4,     3.2,     0.0,     0.0,     4.4,     0.0
North Brookfield,02150000,        25,    72.0,    12.0,     0.0,     0.0,    16.0,     0.0
North Middlesex,07350000,       214,    88.8,     4.7,     0.0,     0.5,     6.1,     0.0
North Reading,02170000,       165,    97.6,     1.8,     0.0,     0.0,     0.6,     0.0
Northampton,02100000,       237,    92.4,     3.8,     0.4,     0.4,     3.0,     0.0
Northampton-Smith Vocational Agricultural,04060000,       145,    96.6,     0.7,     0.0,     0.7,     1.4,     0.7
Northboro-Southboro,07300000,       299,    97.7,     1.3,     0.0,     0.0,     1.0,     0.0
Northbridge,02140000,       111,    84.7,     1.8,     0.0,     1.8,    11.7,     0.0
Northeast Metropolitan Regional Vocational Technical,08530000,       320,    98.4,     0.3,     0.0,     0.0,     1.2,     0.0
Northern Berkshire Regional Vocational Technical,08510000,       132,    97.7,     0.0,     0.0,     0.8,     1.5,     0.0
Norton,02180000,       171,    93.0,     0.6,     0.6,     0.6,     5.3,     0.0
Norwell,02190000,       154,    97.4,     1.3,     0.0,     0.6,     0.6,     0.0
Norwood,02200000,       254,    96.1,     3.5,     0.0,     0.0,     0.4,     0.0
Old Colony Regional Vocational Technical,08550000,       132,    99.2,     0.0,     0.0,     0.0,     0.8,     0.0
Old Rochester,07400000,       152,    96.1,     2.6,     0.7,     0.0,     0.7,     0.0
Oxford,02260000,       104,    95.2,     1.9,     0.0,     0.0,     2.9,     0.0
Palmer,02270000,        78,    94.9,     3.8,     1.3,     0.0,     0.0,     0.0
Pathfinder Regional Vocational Technical,08600000,       139,    94.2,     1.4,     0.0,     0.7,     3.6,     0.0
Peabody,02290000,       399,    83.7,     8.0,     0.3,     0.3,     7.8,     0.0
Pembroke,02310000,       174,    95.4,     3.4,     0.0,     0.0,     1.1,     0.0
Pentucket,07450000,       154,    98.1,     0.6,     0.0,     0.0,     1.3,     0.0
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,        73,    12.3,    28.8,     0.0,     0.0,    58.9,     0.0
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,        52,     1.9,    48.1,     0.0,     3.8,    46.2,     0.0
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,        40,     7.5,    42.5,     0.0,     0.0,    50.0,     0.0
Pioneer Charter School of Science (District),04940000,        53,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
